Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",25,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,,,,,,,,,,,
25,0.001,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00104,,,,,,,,,,,,,,,,,,,,,,,,
27,0.00106,,,,,,,,,,,,,,,,,,,,,,,,
28,0.00104,,,,,,,,,,,,,,,,,,,,,,,,
29,0.00103,,,,,,,,,,,,,,,,,,,,,,,,
30,0.00102,,,,,,,,,,,,,,,,,,,,,,,,
31,0.00101,,,,,,,,,,,,,,,,,,,,,,,,
32,0.00102,,,,,,,,,,,,,,,,,,,,,,,,
33,0.00105,,,,,,,,,,,,,,,,,,,,,,,,
34,0.00107,,,,,,,,,,,,,,,,,,,,,,,,
35,0.00112,,,,,,,,,,,,,,,,,,,,,,,,
36,0.00117,,,,,,,,,,,,,,,,,,,,,,,,
37,0.00124,,,,,,,,,,,,,,,,,,,,,,,,
38,0.00133,,,,,,,,,,,,,,,,,,,,,,,,
39,0.00141,,,,,,,,,,,,,,,,,,,,,,,,
40,0.00152,,,,,,,,,,,,,,,,,,,,,,,,
41,0.00165,,,,,,,,,,,,,,,,,,,,,,,,
42,0.00181,,,,,,,,,,,,,,,,,,,,,,,,
43,0.002,,,,,,,,,,,,,,,,,,,,,,,,
44,0.00221,,,,,,,,,,,,,,,,,,,,,,,,
45,0.00244,,,,,,,,,,,,,,,,,,,,,,,,
46,0.00267,,,,,,,,,,,,,,,,,,,,,,,,
47,0.00286,,,,,,,,,,,,,,,,,,,,,,,,
48,0.00301,,,,,,,,,,,,,,,,,,,,,,,,
49,0.0032,,,,,,,,,,,,,,,,,,,,,,,,
50,0.00345,,,,,,,,,,,,,,,,,,,,,,,,
51,0.00377,,,,,,,,,,,,,,,,,,,,,,,,
52,0.00416,,,,,,,,,,,,,,,,,,,,,,,,
53,0.00461,,,,,,,,,,,,,,,,,,,,,,,,
54,0.00518,,,,,,,,,,,,,,,,,,,,,,,,
55,0.00582,,,,,,,,,,,,,,,,,,,,,,,,
56,0.00648,,,,,,,,,,,,,,,,,,,,,,,,
57,0.00712,,,,,,,,,,,,,,,,,,,,,,,,
58,0.00776,,,,,,,,,,,,,,,,,,,,,,,,
59,0.00851,,,,,,,,,,,,,,,,,,,,,,,,
60,0.00942,,,,,,,,,,,,,,,,,,,,,,,,
61,0.01053,,,,,,,,,,,,,,,,,,,,,,,,
62,0.01182,,,,,,,,,,,,,,,,,,,,,,,,
63,0.01323,,,,,,,,,,,,,,,,,,,,,,,,
64,0.0147,,,,,,,,,,,,,,,,,,,,,,,,
65,0.01623,,,,,,,,,,,,,,,,,,,,,,,,
66,0.01778,,,,,,,,,,,,,,,,,,,,,,,,
67,0.0194,,,,,,,,,,,,,,,,,,,,,,,,
68,0.02111,,,,,,,,,,,,,,,,,,,,,,,,
69,0.02303,,,,,,,,,,,,,,,,,,,,,,,,
70,0.02527,,,,,,,,,,,,,,,,,,,,,,,,
71,0.02799,,,,,,,,,,,,,,,,,,,,,,,,
72,0.03117,,,,,,,,,,,,,,,,,,,,,,,,
73,0.03452,,,,,,,,,,,,,,,,,,,,,,,,
74,0.03812,,,,,,,,,,,,,,,,,,,,,,,,
75,0.04204,,,,,,,,,,,,,,,,,,,,,,,,
76,0.04646,,,,,,,,,,,,,,,,,,,,,,,,
77,0.0516,,,,,,,,,,,,,,,,,,,,,,,,
78,0.05757,,,,,,,,,,,,,,,,,,,,,,,,
79,0.06426,,,,,,,,,,,,,,,,,,,,,,,,
80,0.07172,,,,,,,,,,,,,,,,,,,,,,,,
81,0.07983,,,,,,,,,,,,,,,,,,,,,,,,
82,0.08842,,,,,,,,,,,,,,,,,,,,,,,,
83,0.0978,,,,,,,,,,,,,,,,,,,,,,,,
84,0.10823,,,,,,,,,,,,,,,,,,,,,,,,
85,0.11983,,,,,,,,,,,,,,,,,,,,,,,,
86,0.13259,,,,,,,,,,,,,,,,,,,,,,,,
87,0.14638,,,,,,,,,,,,,,,,,,,,,,,,
88,0.16104,,,,,,,,,,,,,,,,,,,,,,,,
89,0.17642,,,,,,,,,,,,,,,,,,,,,,,,
90,0.19174,,,,,,,,,,,,,,,,,,,,,,,,
91,0.20682,,,,,,,,,,,,,,,,,,,,,,,,
92,0.22262,,,,,,,,,,,,,,,,,,,,,,,,
93,0.23928,,,,,,,,,,,,,,,,,,,,,,,,
94,0.25683,,,,,,,,,,,,,,,,,,,,,,,,
95,0.27421,,,,,,,,,,,,,,,,,,,,,,,,
96,0.29118,,,,,,,,,,,,,,,,,,,,,,,,
97,0.30926,,,,,,,,,,,,,,,,,,,,,,,,
98,0.32854,,,,,,,,,,,,,,,,,,,,,,,,
99,0.34911,,,,,,,,,,,,,,,,,,,,,,,,
100,0.36876,,,,,,,,,,,,,,,,,,,,,,,,
101,0.38619,,,,,,,,,,,,,,,,,,,,,,,,
102,0.40473,,,,,,,,,,,,,,,,,,,,,,,,
103,0.42444,,,,,,,,,,,,,,,,,,,,,,,,
104,0.44527,,,,,,,,,,,,,,,,,,,,,,,,
105,0.46721,,,,,,,,,,,,,,,,,,,,,,,,
106,0.4905,,,,,,,,,,,,,,,,,,,,,,,,
107,0.51521,,,,,,,,,,,,,,,,,,,,,,,,
108,0.54143,,,,,,,,,,,,,,,,,,,,,,,,
109,0.56922,,,,,,,,,,,,,,,,,,,,,,,,
110,0.59865,,,,,,,,,,,,,,,,,,,,,,,,
111,0.62983,,,,,,,,,,,,,,,,,,,,,,,,
112,0.66283,,,,,,,,,,,,,,,,,,,,,,,,
113,0.69775,,,,,,,,,,,,,,,,,,,,,,,,
114,0.73465,,,,,,,,,,,,,,,,,,,,,,,,
115,0.77363,,,,,,,,,,,,,,,,,,,,,,,,
116,0.81476,,,,,,,,,,,,,,,,,,,,,,,,
117,0.85813,,,,,,,,,,,,,,,,,,,,,,,,
118,0.9038,,,,,,,,,,,,,,,,,,,,,,,,
119,0.95167,,,,,,,,,,,,,,,,,,,,,,,,
120,1,,,,,,,,,,,,,,,,,,,,,,,,
