Table Name:,2015 VBT Female Non-Smoker RR125 ALB,,,,,,,,,,,,,,,,,,,,,,,,
Table Identity:,3216,,,,,,,,,,,,,,,,,,,,,,,,
Provider Domain:,soa.org,,,,,,,,,,,,,,,,,,,,,,,,
Provider Name:,American Academy of Actuaries along with the Society of Actuaries,,,,,,,,,,,,,,,,,,,,,,,,
Table Reference:,"Society of Actuaries website, 2015 Valuation Basic Tables. Accessed: March, 2016 from https://www.soa.org/resources/experience-studies/2015/2015-valuation-basic-tables/",,,,,,,,,,,,,,,,,,,,,,,,
Content Type:,Insured Lives Mortality,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2015 Valuation Basic Table (VBT) Relative Risk Table - Female, 125%, Non-Smoker, Age Last Birthday. Minimum Age: 18. Maximum Age: 95.",,,,,,,,,,,,,,,,,,,,,,,,
EffDate:,,,,,,,,,,,,,,,,,,,,,,,,,
Comments:,"Study Data: The 2015 VBT was developed based on the mortality experience from the SOA Individual Life Experience Committee studies from the 2002-2009 study period. Additional data from other sources was used to supplement the 2002-2009 experience at younger and older ages where industry experience was sparse.To develop the 2015 VBT table, the mortality was projected from March 1st, 2006 to July 1st, 2015, using recent mortality improvement trends. Data Certified: 07/2018.",,,,,,,,,,,,,,,,,,,,,,,,
Keywords:,"Select,Insured Lives Mortality,United States of America",,,,,,,,,,,,,,,,,,,,,,,,

Table # ,1,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2015 VBT Relative Risk Table - Female, 125% Non-Smoker, Age Last Birthday, Select",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,Ordinal Date,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",18,1,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",95,25,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
18,0.00037,0.00037,0.00036,0.00036,0.00036,0.00036,0.00036,0.00035,0.00036,0.00038,0.00041,0.00044,0.00046,0.00049,0.00054,0.00063,0.00073,0.00084,0.00095,0.00104,0.00112,0.00115,0.00117,0.00118,0.00118
19,0.00034,0.00034,0.00033,0.00034,0.00034,0.00034,0.00033,0.00032,0.00034,0.00038,0.00041,0.00043,0.00045,0.00048,0.00055,0.00065,0.00077,0.0009,0.001,0.00109,0.00115,0.00117,0.00118,0.00118,0.00118
20,0.00029,0.0003,0.00031,0.00032,0.00031,0.0003,0.0003,0.00031,0.00034,0.00038,0.00041,0.00042,0.00044,0.00049,0.00057,0.00069,0.0008,0.00092,0.00103,0.00111,0.00117,0.00118,0.00118,0.00118,0.00119
21,0.00023,0.00028,0.0003,0.00029,0.00028,0.00027,0.00028,0.00031,0.00035,0.00039,0.00041,0.00042,0.00045,0.00051,0.00061,0.00072,0.00083,0.00093,0.00104,0.00113,0.00118,0.00118,0.00118,0.00119,0.00122
22,0.00021,0.00026,0.00027,0.00026,0.00025,0.00026,0.00028,0.00032,0.00036,0.00039,0.00041,0.00043,0.00047,0.00055,0.00065,0.00076,0.00085,0.00094,0.00105,0.00113,0.00118,0.00118,0.00119,0.00122,0.00126
23,0.00018,0.00024,0.00024,0.00023,0.00023,0.00025,0.00029,0.00033,0.00037,0.0004,0.00042,0.00045,0.0005,0.0006,0.0007,0.00079,0.00086,0.00095,0.00105,0.00113,0.00118,0.00119,0.00122,0.00126,0.00131
24,0.00016,0.00021,0.00021,0.00021,0.00023,0.00026,0.0003,0.00034,0.00038,0.00041,0.00044,0.00048,0.00056,0.00066,0.00075,0.00081,0.00088,0.00096,0.00105,0.00114,0.00119,0.00122,0.00126,0.00131,0.00138
25,0.00014,0.00018,0.00019,0.00021,0.00023,0.00027,0.0003,0.00035,0.00039,0.00043,0.00047,0.00053,0.00062,0.00072,0.00079,0.00084,0.0009,0.00098,0.00107,0.00115,0.00122,0.00126,0.00131,0.00138,0.00147
26,0.00012,0.00017,0.00019,0.00021,0.00023,0.00027,0.00031,0.00036,0.00042,0.00047,0.00052,0.00059,0.00069,0.00077,0.00082,0.00086,0.00092,0.00101,0.0011,0.00118,0.00126,0.00131,0.00138,0.00147,0.00158
27,0.0001,0.00016,0.00019,0.00021,0.00023,0.00027,0.00032,0.00038,0.00044,0.0005,0.00057,0.00065,0.00075,0.00081,0.00085,0.00089,0.00095,0.00104,0.00113,0.00123,0.00131,0.00138,0.00147,0.00158,0.00173
28,0.0001,0.00016,0.00019,0.00021,0.00024,0.00028,0.00034,0.00041,0.00048,0.00055,0.00062,0.0007,0.00079,0.00084,0.00088,0.00092,0.00099,0.00108,0.00118,0.00128,0.00138,0.00147,0.00158,0.00173,0.00193
29,0.0001,0.00016,0.00019,0.00021,0.00025,0.0003,0.00036,0.00044,0.00051,0.00059,0.00066,0.00074,0.00082,0.00086,0.0009,0.00096,0.00104,0.00115,0.00125,0.00136,0.00147,0.00158,0.00173,0.00193,0.00215
30,0.0001,0.00017,0.0002,0.00022,0.00026,0.00032,0.00038,0.00047,0.00055,0.00062,0.00069,0.00076,0.00084,0.00089,0.00094,0.00101,0.00112,0.00123,0.00134,0.00145,0.00158,0.00173,0.00193,0.00215,0.00239
31,0.0001,0.00018,0.00021,0.00024,0.00029,0.00036,0.00042,0.0005,0.00058,0.00064,0.00071,0.00079,0.00087,0.00093,0.001,0.00109,0.00121,0.00132,0.00143,0.00156,0.00173,0.00193,0.00215,0.00239,0.00263
32,0.0001,0.00018,0.00023,0.00027,0.00033,0.0004,0.00047,0.00054,0.0006,0.00066,0.00073,0.00081,0.00091,0.00099,0.00108,0.00118,0.0013,0.00142,0.00155,0.00171,0.00193,0.00215,0.00239,0.00263,0.00286
33,0.0001,0.00019,0.00025,0.00031,0.00037,0.00044,0.00051,0.00057,0.00062,0.00068,0.00075,0.00084,0.00096,0.00107,0.00117,0.00128,0.00141,0.00154,0.00169,0.0019,0.00215,0.00239,0.00263,0.00286,0.00308
34,0.00011,0.0002,0.00028,0.00035,0.00042,0.00047,0.00055,0.0006,0.00064,0.0007,0.00078,0.0009,0.00104,0.00116,0.00127,0.00139,0.00152,0.00167,0.00187,0.00211,0.00239,0.00263,0.00286,0.00308,0.00332
35,0.00012,0.00021,0.00031,0.00039,0.00046,0.00052,0.00059,0.00063,0.00066,0.00073,0.00084,0.00098,0.00114,0.00126,0.00138,0.0015,0.00165,0.00183,0.00206,0.00234,0.00263,0.00286,0.00308,0.00332,0.00358
36,0.00013,0.00022,0.00034,0.00044,0.00051,0.00057,0.00063,0.00066,0.0007,0.00078,0.00092,0.00108,0.00125,0.00137,0.00149,0.00162,0.00178,0.00199,0.00226,0.00256,0.00286,0.00308,0.00332,0.00358,0.00388
37,0.00014,0.00023,0.00037,0.00048,0.00056,0.00062,0.00065,0.00069,0.00075,0.00086,0.00102,0.00119,0.00136,0.00148,0.0016,0.00174,0.00193,0.00217,0.00247,0.00278,0.00308,0.00332,0.00358,0.00388,0.00424
38,0.00015,0.00024,0.00039,0.00051,0.0006,0.00065,0.00069,0.00074,0.00082,0.00096,0.00113,0.0013,0.00146,0.00159,0.00172,0.00188,0.0021,0.00236,0.00267,0.00301,0.00332,0.00358,0.00388,0.00424,0.00464
39,0.00016,0.00026,0.0004,0.00053,0.00063,0.00068,0.00073,0.0008,0.0009,0.00107,0.00125,0.00141,0.00157,0.00171,0.00185,0.00204,0.00228,0.00256,0.00288,0.00324,0.00358,0.00388,0.00424,0.00464,0.0051
40,0.00017,0.00027,0.00041,0.00054,0.00066,0.00073,0.0008,0.00088,0.001,0.00118,0.00136,0.00153,0.00169,0.00184,0.002,0.00222,0.00247,0.00277,0.00311,0.0035,0.00388,0.00424,0.00464,0.0051,0.0056
41,0.00018,0.00029,0.00042,0.00057,0.00071,0.0008,0.00087,0.00095,0.0011,0.0013,0.00148,0.00164,0.00181,0.00199,0.00219,0.00242,0.0027,0.003,0.00337,0.0038,0.00424,0.00464,0.0051,0.0056,0.00613
42,0.0002,0.00031,0.00044,0.00062,0.00077,0.00086,0.00093,0.00104,0.00121,0.00141,0.00159,0.00176,0.00196,0.00218,0.00241,0.00266,0.00295,0.00329,0.00368,0.00416,0.00464,0.0051,0.0056,0.00613,0.00671
43,0.00021,0.00032,0.00047,0.00069,0.00083,0.00092,0.001,0.00113,0.00132,0.00152,0.0017,0.00189,0.00214,0.00239,0.00264,0.00292,0.00323,0.0036,0.00403,0.00456,0.0051,0.0056,0.00613,0.00671,0.00734
44,0.00024,0.00033,0.00051,0.00078,0.0009,0.00099,0.00107,0.00123,0.00143,0.00163,0.00183,0.00205,0.00234,0.00263,0.0029,0.0032,0.00354,0.00394,0.00442,0.005,0.0056,0.00613,0.00671,0.00734,0.00803
45,0.00027,0.00034,0.00057,0.00085,0.00097,0.00106,0.00117,0.00134,0.00154,0.00175,0.00197,0.00225,0.00258,0.0029,0.00319,0.00351,0.0039,0.00434,0.00487,0.00548,0.00613,0.00671,0.00734,0.00803,0.00881
46,0.0003,0.00035,0.00065,0.00091,0.00104,0.00115,0.00128,0.00146,0.00166,0.00188,0.00214,0.00248,0.00286,0.00319,0.00351,0.00388,0.00431,0.00479,0.00536,0.006,0.00671,0.00734,0.00803,0.00881,0.00973
47,0.00032,0.00038,0.00076,0.00099,0.00114,0.00126,0.0014,0.00159,0.0018,0.00204,0.00234,0.00273,0.00317,0.00351,0.00387,0.00429,0.00477,0.00529,0.00589,0.00657,0.00734,0.00803,0.00881,0.00973,0.0108
48,0.00033,0.00043,0.0009,0.0011,0.00126,0.00138,0.00155,0.00174,0.00195,0.00221,0.00256,0.00301,0.00348,0.00386,0.00424,0.00471,0.00524,0.00581,0.00645,0.00718,0.00803,0.00881,0.00973,0.0108,0.01206
49,0.00034,0.00053,0.00105,0.00124,0.00138,0.00153,0.00171,0.00189,0.00211,0.00242,0.00281,0.00328,0.00377,0.00418,0.0046,0.00514,0.00573,0.00633,0.00702,0.00784,0.00881,0.00973,0.0108,0.01206,0.0135
50,0.00035,0.00069,0.0012,0.00137,0.00152,0.00169,0.00187,0.00206,0.00231,0.00265,0.00308,0.00355,0.00404,0.00448,0.00497,0.00558,0.00622,0.00686,0.00761,0.00856,0.00973,0.0108,0.01206,0.0135,0.01517
