Table Name:,"1986-92 CIA - Male, ALB",,,,,,,,,,,,,,
Table Identity:,430,,,,,,,,,,,,,,
Provider Domain:,soa.org,,,,,,,,,,,,,,
Provider Name:,Roger Scott Lumsden,,,,,,,,,,,,,,
Table Reference:,"Harry Panjer and Ken Seng Tan, “Graduation of Canadian Individual Insurance Mortality Experience: 1986-1992”, Canadian Institute of Actuaries (Ottawa, 1995)",,,,,,,,,,,,,,
Content Type:,Insured Lives Mortality,,,,,,,,,,,,,,
Table Description:,1986-92 Canadian Institute of Actuaries (CIA) - Male. Basis: Age Last Birthday. Minimum Select Age: 0. Maximum Select Age: 80. Minimum Ultimate Age: 15. Maximum Ultimate Age: 104,,,,,,,,,,,,,,
EffDate:,,,,,,,,,,,,,,,
Comments:,"Study Data: Canada’s Committee on Expected Experience, Individual Life (CEEIL) was concerned that at the time of the previous generation of tables (See SOA Table Identities 416-425) that the smoker and nonsmoker data available did not contain a sufficient number of deaths to give a reliable measure of mortality. Thus a margin was added to the smoker and nonsmoker tables in view of uncertainty of the correct values. Four more years of data has increased greatly the volume of deaths reported on a smoker and nonsmoker basis. Methodology: Ultimate rates for ages 0-15 based on both the select period and ultimate period data with the data combined by attained age. Ages 0-99 where then graduated with Whittaker B formula. Ages above 40 further smoothed by Makeham's Second Law using colog(p(x)) rather than mu(x). Ages 100-105 were appended by fitting a cubic so as to reach 1 at age 105. Age 0 was subsequently reset to the raw qx.  Select rates initially calculated as ratios to the ultimate expected in quinquennial issue age groups. These ratios where then graduated. Duration 1 selection factors were fitted to logistic-linear curve. The rate of decay of selection was based on a single power function for all attained ages. Together, a complete table of selection factors were obtained that could then be multiplied by the ultimate qx's for the same attained ages. Small final adjustments were made to bring actual-to-expected ratios to 100%. Age last birthday rates then developed from the age nearest birthday rates. NOTE: A prior generation of this table had an unauthorized extension for select issue ages 81 to 85. As the rates were not produced or published by the CIA, they have been removed. Data Transcription Errors Detected: 07/2013. Data Corrected and Certified: 07/2013",,,,,,,,,,,,,,
Keywords:,"Select,Insured Lives Mortality,Canada",,,,,,,,,,,,,,

Table # ,1,,,,,,,,,,,,,,
Table Description:,1986-92 Canadian Institute of Actuaries (CIA) - Male. Basis: Age Last Birthday. Minimum Select Age: 0. Maximum Select Age: 80.,,,,,,,,,,,,,,
Nation:,Canada,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,Ordinal Date,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",0,1,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",80,15,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.00067,0.00040,0.00030,0.00023,0.00018,0.00016,0.00015,0.00015,0.00015,0.00015,0.00017,0.00020,0.00027,0.00035,0.00046
1,0.00040,0.00030,0.00023,0.00018,0.00016,0.00015,0.00015,0.00015,0.00015,0.00017,0.00020,0.00027,0.00035,0.00046,0.00059
2,0.00030,0.00023,0.00018,0.00016,0.00015,0.00015,0.00015,0.00015,0.00017,0.00020,0.00027,0.00035,0.00046,0.00059,0.00071
3,0.00023,0.00018,0.00016,0.00015,0.00015,0.00015,0.00015,0.00017,0.00020,0.00027,0.00035,0.00046,0.00059,0.00071,0.00082
4,0.00018,0.00016,0.00015,0.00015,0.00015,0.00015,0.00017,0.00020,0.00027,0.00035,0.00046,0.00059,0.00071,0.00081,0.00090
5,0.00016,0.00015,0.00015,0.00015,0.00015,0.00017,0.00020,0.00027,0.00035,0.00046,0.00059,0.00071,0.00081,0.00089,0.00095
6,0.00015,0.00015,0.00015,0.00015,0.00017,0.00020,0.00027,0.00035,0.00046,0.00059,0.00070,0.00081,0.00089,0.00094,0.00097
7,0.00015,0.00015,0.00015,0.00017,0.00020,0.00027,0.00035,0.00046,0.00058,0.00070,0.00081,0.00088,0.00093,0.00096,0.00097
8,0.00015,0.00015,0.00017,0.00020,0.00027,0.00035,0.00046,0.00058,0.00070,0.00080,0.00088,0.00093,0.00095,0.00095,0.00096
9,0.00015,0.00017,0.00020,0.00027,0.00035,0.00046,0.00058,0.00070,0.00080,0.00087,0.00092,0.00094,0.00094,0.00094,0.00094
10,0.00017,0.00020,0.00027,0.00035,0.00046,0.00058,0.00070,0.00080,0.00087,0.00091,0.00092,0.00092,0.00092,0.00092,0.00093
11,0.00020,0.00027,0.00035,0.00046,0.00058,0.00070,0.00080,0.00086,0.00090,0.00091,0.00090,0.00090,0.00090,0.00091,0.00094
12,0.00027,0.00035,0.00046,0.00058,0.00070,0.00079,0.00086,0.00089,0.00090,0.00089,0.00088,0.00087,0.00088,0.00092,0.00096
13,0.00035,0.00046,0.00058,0.00070,0.00079,0.00085,0.00088,0.00088,0.00087,0.00085,0.00085,0.00086,0.00089,0.00094,0.00099
14,0.00046,0.00058,0.00069,0.00079,0.00085,0.00087,0.00087,0.00085,0.00083,0.00082,0.00083,0.00086,0.00091,0.00096,0.00101
15,0.00058,0.00069,0.00078,0.00084,0.00086,0.00085,0.00083,0.00081,0.00080,0.00081,0.00083,0.00088,0.00093,0.00098,0.00104
16,0.00069,0.00078,0.00083,0.00085,0.00084,0.00081,0.00079,0.00077,0.00078,0.00081,0.00085,0.00090,0.00095,0.00101,0.00108
17,0.00077,0.00082,0.00084,0.00082,0.00079,0.00076,0.00075,0.00075,0.00078,0.00082,0.00087,0.00092,0.00098,0.00105,0.00113
18,0.00081,0.00082,0.00080,0.00077,0.00073,0.00072,0.00072,0.00075,0.00079,0.00084,0.00089,0.00095,0.00101,0.00109,0.00118
19,0.00080,0.00078,0.00074,0.00070,0.00069,0.00069,0.00071,0.00076,0.00081,0.00086,0.00091,0.00098,0.00106,0.00114,0.00121
20,0.00074,0.00071,0.00067,0.00065,0.00066,0.00068,0.00072,0.00077,0.00082,0.00088,0.00094,0.00102,0.00110,0.00117,0.00122
21,0.00066,0.00064,0.00062,0.00062,0.00065,0.00069,0.00074,0.00079,0.00084,0.00091,0.00098,0.00106,0.00114,0.00118,0.00122
22,0.00058,0.00057,0.00058,0.00061,0.00065,0.00070,0.00075,0.00081,0.00087,0.00095,0.00103,0.00110,0.00115,0.00118,0.00121
23,0.00051,0.00053,0.00057,0.00061,0.00066,0.00071,0.00077,0.00083,0.00091,0.00099,0.00106,0.00111,0.00114,0.00117,0.00122
24,0.00046,0.00052,0.00056,0.00062,0.00067,0.00073,0.00079,0.00087,0.00094,0.00101,0.00106,0.00110,0.00113,0.00118,0.00125
25,0.00044,0.00051,0.00057,0.00062,0.00068,0.00075,0.00082,0.00090,0.00097,0.00102,0.00106,0.00109,0.00114,0.00121,0.00130
26,0.00043,0.00051,0.00058,0.00064,0.00070,0.00078,0.00086,0.00093,0.00098,0.00102,0.00105,0.00110,0.00116,0.00126,0.00139
27,0.00043,0.00052,0.00059,0.00066,0.00073,0.00081,0.00088,0.00093,0.00097,0.00101,0.00105,0.00112,0.00121,0.00134,0.00151
28,0.00043,0.00053,0.00060,0.00068,0.00076,0.00083,0.00089,0.00093,0.00096,0.00101,0.00108,0.00117,0.00130,0.00146,0.00165
29,0.00043,0.00054,0.00062,0.00071,0.00078,0.00084,0.00088,0.00092,0.00097,0.00103,0.00112,0.00125,0.00141,0.00159,0.00181
30,0.00044,0.00056,0.00065,0.00072,0.00078,0.00083,0.00087,0.00092,0.00099,0.00108,0.00120,0.00136,0.00154,0.00175,0.00200
31,0.00045,0.00058,0.00066,0.00073,0.00078,0.00082,0.00087,0.00094,0.00103,0.00115,0.00130,0.00148,0.00169,0.00193,0.00221
32,0.00047,0.00059,0.00066,0.00072,0.00077,0.00082,0.00089,0.00098,0.00110,0.00125,0.00142,0.00163,0.00186,0.00213,0.00244
33,0.00048,0.00059,0.00066,0.00071,0.00077,0.00084,0.00093,0.00104,0.00119,0.00136,0.00156,0.00179,0.00205,0.00236,0.00271
34,0.00048,0.00058,0.00065,0.00071,0.00078,0.00087,0.00099,0.00113,0.00130,0.00149,0.00172,0.00198,0.00227,0.00262,0.00301
35,0.00047,0.00057,0.00065,0.00072,0.00081,0.00093,0.00107,0.00123,0.00142,0.00164,0.00190,0.00219,0.00252,0.00291,0.00335
36,0.00046,0.00057,0.00066,0.00075,0.00087,0.00101,0.00117,0.00135,0.00157,0.00181,0.00210,0.00243,0.00280,0.00323,0.00373
37,0.00046,0.00058,0.00068,0.00080,0.00094,0.00110,0.00128,0.00149,0.00173,0.00201,0.00233,0.00269,0.00311,0.00360,0.00415
