Table Name:,2015 VBT Female Smoker RR125 ALB,,,,,,,,,,,,,,,,,,,,,,,,
Table Identity:,3231,,,,,,,,,,,,,,,,,,,,,,,,
Provider Domain:,soa.org,,,,,,,,,,,,,,,,,,,,,,,,
Provider Name:,American Academy of Actuaries along with the Society of Actuaries,,,,,,,,,,,,,,,,,,,,,,,,
Table Reference:,"Society of Actuaries website, 2015 Valuation Basic Tables. Accessed: March, 2016 from https://www.soa.org/resources/experience-studies/2015/2015-valuation-basic-tables/",,,,,,,,,,,,,,,,,,,,,,,,
Content Type:,Insured Lives Mortality,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2015 Valuation Basic Table (VBT) Relative Risk Table - Female, 125%, Smoker, Age Last Birthday. Minimum Age: 18. Maximum Age: 95.",,,,,,,,,,,,,,,,,,,,,,,,
EffDate:,,,,,,,,,,,,,,,,,,,,,,,,,
Comments:,"Study Data: The 2015 VBT was developed based on the mortality experience from the SOA Individual Life Experience Committee studies from the 2002-2009 study period. Additional data from other sources was used to supplement the 2002-2009 experience at younger and older ages where industry experience was sparse.To develop the 2015 VBT table, the mortality was projected from March 1st, 2006 to July 1st, 2015, using recent mortality improvement trends. Data Certified: 07/2018.",,,,,,,,,,,,,,,,,,,,,,,,
Keywords:,"Select,Insured Lives Mortality,United States of America",,,,,,,,,,,,,,,,,,,,,,,,

Table # ,1,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2015 VBT Relative Risk Table - Female, 125% Smoker, Age Last Birthday, Select",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,Ordinal Date,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",18,1,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",95,25,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
18,0.00037,0.00037,0.00036,0.00036,0.00036,0.00038,0.00041,0.00042,0.00042,0.00043,0.00045,0.00048,0.00051,0.00055,0.00059,0.00071,0.00086,0.00099,0.00117,0.00136,0.00154,0.00167,0.00179,0.0019,0.00201
19,0.00034,0.00034,0.00033,0.00034,0.00036,0.00039,0.0004,0.00041,0.00042,0.00045,0.00047,0.00051,0.00055,0.00059,0.00071,0.00085,0.00098,0.00116,0.00134,0.00151,0.00167,0.00179,0.0019,0.00201,0.00212
20,0.00029,0.0003,0.00031,0.00033,0.00036,0.00038,0.00039,0.00041,0.00044,0.00047,0.00051,0.00054,0.00059,0.00071,0.00084,0.00098,0.00115,0.00132,0.00149,0.00165,0.00179,0.0019,0.00201,0.00212,0.00225
21,0.00023,0.00028,0.0003,0.00033,0.00036,0.00037,0.00039,0.00043,0.00047,0.0005,0.00054,0.00058,0.00071,0.00084,0.00097,0.00114,0.00131,0.00147,0.00162,0.00177,0.0019,0.00201,0.00212,0.00225,0.00243
22,0.00022,0.00027,0.0003,0.00032,0.00035,0.00037,0.00041,0.00046,0.0005,0.00054,0.00058,0.0007,0.00084,0.00097,0.00114,0.0013,0.00145,0.00161,0.00175,0.00188,0.00201,0.00212,0.00225,0.00243,0.00266
23,0.00024,0.00027,0.00029,0.00032,0.00035,0.00039,0.00044,0.00049,0.00054,0.00058,0.00069,0.00084,0.00097,0.00113,0.00129,0.00144,0.00159,0.00173,0.00186,0.00199,0.00212,0.00225,0.00243,0.00266,0.00291
24,0.00024,0.00026,0.00028,0.00032,0.00036,0.00041,0.00047,0.00053,0.00058,0.00067,0.00082,0.00095,0.00112,0.00127,0.00143,0.00158,0.00172,0.00184,0.00197,0.00211,0.00225,0.00243,0.00266,0.00291,0.0032
25,0.00023,0.00025,0.00028,0.00033,0.00039,0.00045,0.00051,0.00057,0.00065,0.00078,0.00093,0.00109,0.00127,0.00142,0.00156,0.0017,0.00184,0.00196,0.00209,0.00224,0.00243,0.00266,0.00291,0.0032,0.00351
26,0.00022,0.00025,0.0003,0.00035,0.00042,0.00048,0.00055,0.00063,0.00074,0.00089,0.00106,0.00124,0.00141,0.00156,0.00169,0.00182,0.00196,0.00209,0.00223,0.00242,0.00266,0.00291,0.0032,0.00351,0.00386
27,0.00022,0.00026,0.00032,0.00038,0.00045,0.00052,0.0006,0.00071,0.00084,0.00101,0.0012,0.00138,0.00155,0.00168,0.00181,0.00194,0.00208,0.00222,0.00239,0.00265,0.00291,0.0032,0.00351,0.00386,0.00425
28,0.00022,0.00028,0.00034,0.00041,0.00049,0.00057,0.00067,0.0008,0.00096,0.00114,0.00133,0.00151,0.00167,0.0018,0.00192,0.00206,0.00222,0.00238,0.00259,0.0029,0.0032,0.00351,0.00386,0.00425,0.00467
29,0.00024,0.0003,0.00037,0.00045,0.00053,0.00063,0.00076,0.00091,0.00108,0.00127,0.00145,0.00162,0.00178,0.0019,0.00203,0.00219,0.00238,0.00259,0.00284,0.00318,0.00351,0.00386,0.00425,0.00467,0.00514
30,0.00025,0.00032,0.0004,0.00049,0.00059,0.00071,0.00086,0.00102,0.0012,0.00139,0.00156,0.00171,0.00188,0.00201,0.00215,0.00234,0.00259,0.00284,0.00314,0.00348,0.00386,0.00425,0.00467,0.00514,0.00565
31,0.00026,0.00034,0.00044,0.00055,0.00067,0.00081,0.00097,0.00114,0.00131,0.00149,0.00165,0.00181,0.00199,0.00213,0.00231,0.00255,0.00284,0.00313,0.00347,0.00383,0.00425,0.00467,0.00514,0.00565,0.00622
32,0.00028,0.00037,0.00049,0.00062,0.00076,0.00091,0.00108,0.00124,0.00141,0.00159,0.00175,0.00192,0.00211,0.0023,0.00252,0.00281,0.00312,0.00346,0.0038,0.00421,0.00467,0.00514,0.00565,0.00622,0.00686
33,0.0003,0.00041,0.00055,0.00071,0.00086,0.00102,0.00117,0.00133,0.0015,0.00168,0.00185,0.00203,0.00228,0.00252,0.00278,0.00309,0.00344,0.00379,0.00416,0.00463,0.00514,0.00565,0.00622,0.00686,0.00757
34,0.00032,0.00046,0.00063,0.0008,0.00096,0.00111,0.00126,0.00142,0.00158,0.00177,0.00196,0.00222,0.0025,0.00277,0.00306,0.0034,0.00377,0.00415,0.0046,0.00511,0.00565,0.00622,0.00686,0.00757,0.00836
