Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
32,0.00045,0.00056,0.00063,0.00067,0.00071,0.00075,0.00081,0.00088,0.00097,0.00109,0.00122,0.00137,0.00155,0.00174,0.00197
33,0.00045,0.00056,0.00061,0.00066,0.00070,0.00076,0.00083,0.00092,0.00104,0.00117,0.00132,0.00149,0.00168,0.00190,0.00214
34,0.00045,0.00054,0.00060,0.00065,0.00071,0.00078,0.00087,0.00099,0.00111,0.00126,0.00143,0.00162,0.00183,0.00207,0.00234
35,0.00044,0.00053,0.00059,0.00066,0.00073,0.00082,0.00093,0.00106,0.00120,0.00137,0.00155,0.00176,0.00200,0.00226,0.00257
36,0.00042,0.00052,0.00060,0.00067,0.00076,0.00088,0.00100,0.00114,0.00130,0.00148,0.00169,0.00192,0.00218,0.00248,0.00281
37,0.00042,0.00053,0.00061,0.00071,0.00082,0.00094,0.00108,0.00124,0.00141,0.00161,0.00184,0.00210,0.00238,0.00271,0.00308
38,0.00042,0.00054,0.00064,0.00075,0.00088,0.00101,0.00117,0.00134,0.00154,0.00176,0.00201,0.00229,0.00261,0.00297,0.00338
39,0.00042,0.00056,0.00068,0.00081,0.00094,0.00109,0.00126,0.00146,0.00167,0.00192,0.00219,0.00251,0.00286,0.00326,0.00372
40,0.00044,0.00060,0.00073,0.00087,0.00102,0.00119,0.00137,0.00159,0.00183,0.00210,0.00240,0.00275,0.00314,0.00359,0.00410
41,0.00047,0.00064,0.00078,0.00093,0.00110,0.00129,0.00149,0.00173,0.00199,0.00229,0.00263,0.00301,0.00345,0.00395,0.00452
42,0.00050,0.00068,0.00084,0.00101,0.00119,0.00140,0.00163,0.00189,0.00218,0.00251,0.00289,0.00331,0.00380,0.00435,0.00499
43,0.00053,0.00074,0.00091,0.00109,0.00130,0.00152,0.00178,0.00206,0.00239,0.00275,0.00317,0.00364,0.00418,0.00480,0.00552
44,0.00057,0.00079,0.00098,0.00119,0.00141,0.00166,0.00194,0.00226,0.00261,0.00302,0.00348,0.00401,0.00462,0.00531,0.00611
45,0.00061,0.00086,0.00107,0.00129,0.00154,0.00181,0.00212,0.00247,0.00287,0.00332,0.00384,0.00443,0.00511,0.00589,0.00678
46,0.00065,0.00093,0.00116,0.00140,0.00168,0.00198,0.00232,0.00271,0.00315,0.00366,0.00423,0.00489,0.00565,0.00653,0.00754
47,0.00070,0.00100,0.00126,0.00153,0.00183,0.00217,0.00255,0.00298,0.00347,0.00403,0.00467,0.00542,0.00627,0.00726,0.00840
48,0.00076,0.00109,0.00137,0.00167,0.00200,0.00237,0.00279,0.00327,0.00382,0.00445,0.00517,0.00601,0.00697,0.00808,0.00937
49,0.00081,0.00118,0.00149,0.00182,0.00219,0.00260,0.00307,0.00360,0.00422,0.00492,0.00574,0.00667,0.00776,0.00902,0.01047
50,0.00088,0.00128,0.00162,0.00199,0.00240,0.00286,0.00338,0.00398,0.00466,0.00546,0.00637,0.00743,0.00865,0.01007,0.01172
51,0.00095,0.00139,0.00177,0.00218,0.00263,0.00314,0.00373,0.00440,0.00517,0.00606,0.00709,0.00828,0.00966,0.01127,0.01312
52,0.00103,0.00152,0.00194,0.00239,0.00289,0.00346,0.00412,0.00487,0.00573,0.00674,0.00790,0.00924,0.01080,0.01261,0.01470
53,0.00111,0.00165,0.00212,0.00262,0.00318,0.00382,0.00455,0.00540,0.00637,0.00750,0.00881,0.01033,0.01209,0.01413,0.01649
54,0.00120,0.00180,0.00232,0.00288,0.00351,0.00422,0.00505,0.00600,0.00710,0.00837,0.00985,0.01156,0.01355,0.01584,0.01849
55,0.00130,0.00197,0.00255,0.00317,0.00388,0.00468,0.00560,0.00667,0.00791,0.00935,0.01101,0.01295,0.01518,0.01776,0.02074
56,0.00142,0.00216,0.00280,0.00350,0.00429,0.00519,0.00623,0.00744,0.00883,0.01045,0.01233,0.01450,0.01702,0.01992,0.02326
57,0.00154,0.00237,0.00308,0.00387,0.00475,0.00577,0.00694,0.00830,0.00987,0.01169,0.01381,0.01625,0.01908,0.02234,0.02608
58,0.00168,0.00260,0.00340,0.00428,0.00528,0.00642,0.00774,0.00927,0.01104,0.01309,0.01547,0.01822,0.02139,0.02504,0.02922
59,0.00183,0.00286,0.00376,0.00475,0.00587,0.00715,0.00864,0.01036,0.01235,0.01466,0.01733,0.02042,0.02398,0.02805,0.03270
60,0.00200,0.00315,0.00416,0.00527,0.00653,0.00798,0.00965,0.01158,0.01383,0.01642,0.01942,0.02289,0.02686,0.03139,0.03655
61,0.00219,0.00348,0.00461,0.00586,0.00727,0.00890,0.01078,0.01296,0.01548,0.01840,0.02178,0.02565,0.03006,0.03509,0.04080
62,0.00239,0.00384,0.00512,0.00652,0.00811,0.00994,0.01205,0.01450,0.01734,0.02063,0.02439,0.02870,0.03361,0.03918,0.04549
63,0.00263,0.00425,0.00568,0.00726,0.00905,0.01111,0.01348,0.01624,0.01944,0.02310,0.02730,0.03208,0.03752,0.04368,0.05063
64,0.00288,0.00471,0.00632,0.00809,0.01010,0.01240,0.01509,0.01820,0.02177,0.02586,0.03052,0.03582,0.04182,0.04861,0.05626
65,0.00316,0.00522,0.00702,0.00901,0.01127,0.01388,0.01692,0.02039,0.02437,0.02890,0.03407,0.03993,0.04655,0.05402,0.06241
66,0.00347,0.00578,0.00781,0.01004,0.01261,0.01556,0.01895,0.02282,0.02724,0.03227,0.03798,0.04444,0.05173,0.05993,0.06912
67,0.00382,0.00641,0.00869,0.01123,0.01413,0.01744,0.02121,0.02551,0.03041,0.03597,0.04227,0.04938,0.05739,0.06637,0.07641
68,0.00419,0.00711,0.00970,0.01259,0.01583,0.01951,0.02371,0.02848,0.03390,0.04004,0.04697,0.05478,0.06355,0.07337,0.08432
69,0.00460,0.00793,0.01088,0.01410,0.01772,0.02181,0.02647,0.03175,0.03773,0.04449,0.05211,0.06067,0.07026,0.08096,0.09289
70,0.00511,0.00889,0.01219,0.01578,0.01980,0.02435,0.02950,0.03534,0.04193,0.04936,0.05771,0.06707,0.07753,0.08919,0.10216
71,0.00573,0.00995,0.01364,0.01764,0.02211,0.02715,0.03284,0.03927,0.04651,0.05466,0.06380,0.07401,0.08541,0.09809,0.11217
72,0.00642,0.01114,0.01525,0.01969,0.02464,0.03021,0.03649,0.04356,0.05151,0.06042,0.07040,0.08154,0.09394,0.10770,0.12296
73,0.00718,0.01245,0.01702,0.02195,0.02743,0.03358,0.04048,0.04824,0.05694,0.06668,0.07756,0.08967,0.10314,0.11806,0.13457
74,0.00803,0.01390,0.01897,0.02443,0.03048,0.03725,0.04483,0.05333,0.06284,0.07346,0.08530,0.09846,0.11306,0.12922,0.14707
75,0.00896,0.01550,0.02112,0.02715,0.03381,0.04125,0.04956,0.05885,0.06923,0.08079,0.09365,0.10793,0.12374,0.14122,0.16049
76,0.00999,0.01725,0.02347,0.03012,0.03745,0.04560,0.05469,0.06483,0.07613,0.08870,0.10266,0.11813,0.13523,0.15410,0.17489
77,0.01112,0.01917,0.02603,0.03335,0.04140,0.05032,0.06025,0.07130,0.08359,0.09724,0.11236,0.12909,0.14757,0.16793,0.19032
78,0.01236,0.02126,0.02883,0.03687,0.04568,0.05544,0.06626,0.07829,0.09163,0.10642,0.12279,0.14088,0.16081,0.18275,0.20683
79,0.01371,0.02355,0.03187,0.04069,0.05033,0.06097,0.07275,0.08582,0.10029,0.11630,0.13400,0.15351,0.17500,0.19860,0.22448
80,0.01518,0.02603,0.03517,0.04483,0.05535,0.06694,0.07975,0.09392,0.10960,0.12692,0.14602,0.16706,0.19018,0.21555,0.24331

Table # ,2,,,,,,,,,,,,,,
Table Description:,1986-92 Canadian Institute of Actuaries (CIA) – Male Nonsmoker. Basis: Age Last Birthday. Minimum Ultimate Age: 31. Maximum Ultimate Age: 104,,,,,,,,,,,,,,
Nation:,Canada,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",31,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",104,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,
31,0.00111,,,,,,,,,,,,,,
32,0.00116,,,,,,,,,,,,,,
33,0.00118,,,,,,,,,,,,,,
34,0.00119,,,,,,,,,,,,,,
35,0.00117,,,,,,,,,,,,,,
36,0.00115,,,,,,,,,,,,,,
37,0.00115,,,,,,,,,,,,,,
38,0.00116,,,,,,,,,,,,,,
39,0.00120,,,,,,,,,,,,,,
40,0.00126,,,,,,,,,,,,,,
41,0.00136,,,,,,,,,,,,,,
42,0.00146,,,,,,,,,,,,,,
43,0.00158,,,,,,,,,,,,,,
44,0.00171,,,,,,,,,,,,,,
45,0.00186,,,,,,,,,,,,,,
46,0.00203,,,,,,,,,,,,,,
47,0.00222,,,,,,,,,,,,,,
48,0.00242,,,,,,,,,,,,,,
49,0.00265,,,,,,,,,,,,,,
50,0.00291,,,,,,,,,,,,,,
51,0.00319,,,,,,,,,,,,,,
52,0.00350,,,,,,,,,,,,,,
53,0.00385,,,,,,,,,,,,,,
54,0.00424,,,,,,,,,,,,,,
55,0.00468,,,,,,,,,,,,,,
56,0.00516,,,,,,,,,,,,,,
57,0.00571,,,,,,,,,,,,,,
58,0.00633,,,,,,,,,,,,,,
59,0.00703,,,,,,,,,,,,,,
60,0.00782,,,,,,,,,,,,,,
61,0.00871,,,,,,,,,,,,,,
62,0.00972,,,,,,,,,,,,,,
63,0.01086,,,,,,,,,,,,,,
64,0.01216,,,,,,,,,,,,,,
65,0.01362,,,,,,,,,,,,,,
66,0.01526,,,,,,,,,,,,,,
67,0.01712,,,,,,,,,,,,,,
68,0.01921,,,,,,,,,,,,,,
69,0.02155,,,,,,,,,,,,,,
70,0.02417,,,,,,,,,,,,,,
71,0.02710,,,,,,,,,,,,,,
72,0.03035,,,,,,,,,,,,,,
73,0.03397,,,,,,,,,,,,,,
74,0.03797,,,,,,,,,,,,,,
75,0.04239,,,,,,,,,,,,,,
76,0.04726,,,,,,,,,,,,,,
77,0.05260,,,,,,,,,,,,,,
78,0.05845,,,,,,,,,,,,,,
79,0.06484,,,,,,,,,,,,,,
80,0.07181,,,,,,,,,,,,,,
81,0.07938,,,,,,,,,,,,,,
82,0.08760,,,,,,,,,,,,,,
83,0.09651,,,,,,,,,,,,,,
84,0.10614,,,,,,,,,,,,,,
85,0.11654,,,,,,,,,,,,,,
86,0.12775,,,,,,,,,,,,,,
87,0.13982,,,,,,,,,,,,,,
88,0.15280,,,,,,,,,,,,,,
89,0.16674,,,,,,,,,,,,,,
90,0.18170,,,,,,,,,,,,,,
91,0.19774,,,,,,,,,,,,,,
92,0.21489,,,,,,,,,,,,,,
93,0.23323,,,,,,,,,,,,,,
94,0.25279,,,,,,,,,,,,,,
95,0.27362,,,,,,,,,,,,,,
96,0.29575,,,,,,,,,,,,,,
97,0.31920,,,,,,,,,,,,,,
98,0.34399,,,,,,,,,,,,,,
99,0.37117,,,,,,,,,,,,,,
100,0.40717,,,,,,,,,,,,,,
101,0.46380,,,,,,,,,,,,,,
102,0.55452,,,,,,,,,,,,,,
103,0.69529,,,,,,,,,,,,,,
104,1.00000,,,,,,,,,,,,,,
