Table Name:,2015 VBT Female Smoker RR125 ANB,,,,,,,,,,,,,,,,,,,,,,,,
Table Identity:,3235,,,,,,,,,,,,,,,,,,,,,,,,
Provider Domain:,soa.org,,,,,,,,,,,,,,,,,,,,,,,,
Provider Name:,American Academy of Actuaries along with the Society of Actuaries,,,,,,,,,,,,,,,,,,,,,,,,
Table Reference:,"Society of Actuaries website, 2015 Valuation Basic Tables. Accessed: March, 2016 from https://www.soa.org/resources/experience-studies/2015/2015-valuation-basic-tables/",,,,,,,,,,,,,,,,,,,,,,,,
Content Type:,Insured Lives Mortality,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2015 Valuation Basic Table (VBT) Relative Risk Table - Female, 125%, Smoker, Age Nearest Birthday. Minimum Age: 18. Maximum Age: 95.",,,,,,,,,,,,,,,,,,,,,,,,
EffDate:,,,,,,,,,,,,,,,,,,,,,,,,,
Comments:,"Study Data: The 2015 VBT was developed based on the mortality experience from the SOA Individual Life Experience Committee studies from the 2002-2009 study period. Additional data from other sources was used to supplement the 2002-2009 experience at younger and older ages where industry experience was sparse.To develop the 2015 VBT table, the mortality was projected from March 1st, 2006 to July 1st, 2015, using recent mortality improvement trends. Data Certified: 07/2018.",,,,,,,,,,,,,,,,,,,,,,,,
Keywords:,"Select,Insured Lives Mortality,United States of America",,,,,,,,,,,,,,,,,,,,,,,,

Table # ,1,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2015 VBT Relative Risk Table - Female, 125% Smoker, Age Nearest Birthday, Select",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,Ordinal Date,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",18,1,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",95,25,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
18,0.00037,0.00037,0.00037,0.00037,0.00037,0.00037,0.00041,0.00042,0.00043,0.00043,0.00043,0.00046,0.00049,0.00053,0.00057,0.00062,0.00082,0.00091,0.00108,0.00129,0.00146,0.00161,0.00174,0.00185,0.00195
19,0.00037,0.00037,0.00035,0.00035,0.00035,0.00039,0.00041,0.00041,0.00042,0.00043,0.00046,0.00049,0.00053,0.00056,0.00061,0.00081,0.0009,0.00107,0.00126,0.00144,0.00161,0.00174,0.00185,0.00195,0.00207
20,0.00032,0.00031,0.00032,0.00033,0.00036,0.00039,0.0004,0.0004,0.00043,0.00046,0.00049,0.00053,0.00056,0.00061,0.00081,0.00089,0.00106,0.00125,0.00142,0.00159,0.00174,0.00185,0.00195,0.00207,0.00218
21,0.00025,0.00028,0.00031,0.00033,0.00036,0.00038,0.00039,0.00041,0.00046,0.00048,0.00052,0.00056,0.00061,0.0008,0.00088,0.00106,0.00123,0.0014,0.00156,0.00171,0.00185,0.00195,0.00207,0.00218,0.00232
22,0.00022,0.00027,0.00029,0.00033,0.00035,0.00037,0.0004,0.00044,0.00048,0.00052,0.00056,0.00061,0.0008,0.00088,0.00106,0.00122,0.00138,0.00154,0.00169,0.00183,0.00195,0.00207,0.00218,0.00232,0.00254
23,0.00023,0.00027,0.0003,0.00032,0.00034,0.00038,0.00042,0.00047,0.00052,0.00056,0.0006,0.0008,0.00088,0.00106,0.00121,0.00137,0.00153,0.00167,0.0018,0.00194,0.00207,0.00218,0.00232,0.00254,0.00278
24,0.00024,0.00027,0.00029,0.00031,0.00035,0.0004,0.00045,0.00051,0.00056,0.0006,0.00077,0.00088,0.00105,0.0012,0.00136,0.00151,0.00166,0.00179,0.00192,0.00205,0.00218,0.00232,0.00254,0.00278,0.00305
25,0.00024,0.00025,0.00028,0.00032,0.00037,0.00043,0.00049,0.00055,0.0006,0.00073,0.00087,0.00102,0.00119,0.00134,0.0015,0.00164,0.00178,0.0019,0.00203,0.00217,0.00232,0.00254,0.00278,0.00305,0.00334
26,0.00023,0.00025,0.00029,0.00034,0.0004,0.00046,0.00052,0.0006,0.0007,0.00083,0.00099,0.00116,0.00134,0.00149,0.00163,0.00176,0.0019,0.00202,0.00216,0.00231,0.00254,0.00278,0.00305,0.00334,0.00367
27,0.00022,0.00025,0.0003,0.00037,0.00043,0.0005,0.00057,0.00066,0.00079,0.00095,0.00113,0.00131,0.00149,0.00162,0.00175,0.00188,0.00202,0.00215,0.0023,0.00253,0.00278,0.00305,0.00334,0.00367,0.00405
28,0.00022,0.00027,0.00033,0.0004,0.00047,0.00054,0.00063,0.00075,0.0009,0.00108,0.00127,0.00145,0.00162,0.00174,0.00187,0.002,0.00215,0.00229,0.00248,0.00277,0.00305,0.00334,0.00367,0.00405,0.00445
29,0.00023,0.00029,0.00036,0.00043,0.00051,0.0006,0.00071,0.00085,0.00102,0.00121,0.00139,0.00157,0.00173,0.00185,0.00197,0.00212,0.00228,0.00247,0.00271,0.00303,0.00334,0.00367,0.00405,0.00445,0.0049
30,0.00024,0.0003,0.00038,0.00047,0.00056,0.00067,0.0008,0.00096,0.00114,0.00133,0.00151,0.00167,0.00183,0.00196,0.00209,0.00225,0.00247,0.00271,0.00297,0.00332,0.00367,0.00405,0.00445,0.0049,0.00538
31,0.00026,0.00033,0.00042,0.00052,0.00063,0.00076,0.00091,0.00108,0.00126,0.00144,0.00161,0.00176,0.00193,0.00207,0.00221,0.00243,0.0027,0.00297,0.00331,0.00365,0.00405,0.00445,0.0049,0.00538,0.00592
32,0.00027,0.00035,0.00046,0.00058,0.00071,0.00086,0.00102,0.00119,0.00136,0.00154,0.0017,0.00186,0.00205,0.0022,0.0024,0.00267,0.00297,0.00329,0.00363,0.00401,0.00445,0.0049,0.00538,0.00592,0.00652
33,0.00029,0.00039,0.00052,0.00066,0.00081,0.00097,0.00113,0.00129,0.00145,0.00163,0.0018,0.00197,0.00217,0.0024,0.00264,0.00294,0.00327,0.00362,0.00396,0.00441,0.0049,0.00538,0.00592,0.00652,0.0072
34,0.00031,0.00043,0.00059,0.00075,0.00091,0.00107,0.00122,0.00138,0.00154,0.00173,0.0019,0.00209,0.00238,0.00264,0.00291,0.00324,0.00361,0.00395,0.00437,0.00486,0.00538,0.00592,0.00652,0.0072,0.00795
35,0.00034,0.00048,0.00067,0.00085,0.001,0.00116,0.00131,0.00146,0.00162,0.00182,0.00202,0.00234,0.00262,0.00291,0.00321,0.00357,0.00394,0.00435,0.00484,0.00537,0.00592,0.00652,0.0072,0.00795,0.00878
36,0.00038,0.00054,0.00075,0.00093,0.00109,0.00124,0.00139,0.00154,0.00171,0.00192,0.00233,0.00258,0.00288,0.0032,0.00353,0.00393,0.00434,0.00482,0.00535,0.0059,0.00652,0.0072,0.00795,0.00878,0.00969
37,0.00041,0.0006,0.00082,0.00101,0.00117,0.00132,0.00147,0.00163,0.00181,0.0021,0.00255,0.00283,0.00317,0.00352,0.00389,0.00432,0.00479,0.00533,0.00589,0.00651,0.0072,0.00795,0.00878,0.00969,0.01069
38,0.00045,0.00066,0.00089,0.00109,0.00124,0.00139,0.00155,0.00172,0.00199,0.0023,0.0028,0.00311,0.00348,0.00387,0.0043,0.00477,0.00531,0.00587,0.00649,0.00718,0.00795,0.00878,0.00969,0.01069,0.01178
39,0.00048,0.0007,0.00095,0.00116,0.00132,0.00148,0.00164,0.00199,0.00219,0.00252,0.00308,0.00342,0.00384,0.00427,0.00474,0.00528,0.00585,0.00646,0.00716,0.00792,0.00878,0.00969,0.01069,0.01178,0.01296
40,0.00051,0.00074,0.001,0.00123,0.0014,0.00157,0.00195,0.00219,0.00252,0.00302,0.00339,0.00377,0.00423,0.00471,0.00521,0.00583,0.00644,0.00713,0.00789,0.00874,0.00969,0.01069,0.01178,0.01296,0.01424
41,0.00053,0.00077,0.00106,0.0013,0.00149,0.0018,0.00214,0.0025,0.00289,0.00332,0.00373,0.00416,0.00466,0.00519,0.00574,0.00641,0.0071,0.00786,0.00869,0.00963,0.01069,0.01178,0.01296,0.01424,0.01561
42,0.00054,0.00081,0.00112,0.00138,0.00164,0.00197,0.00234,0.00274,0.00318,0.00365,0.0041,0.00457,0.00512,0.00571,0.0063,0.00707,0.00782,0.00865,0.00958,0.01061,0.01178,0.01296,0.01424,0.01561,0.01707
43,0.00056,0.00084,0.00118,0.00152,0.00179,0.00216,0.00257,0.00301,0.00349,0.00401,0.00451,0.00502,0.00563,0.00621,0.00694,0.00778,0.0086,0.00952,0.01055,0.01168,0.01296,0.01424,0.01561,0.01707,0.01863
44,0.00057,0.00088,0.00128,0.00166,0.00197,0.00238,0.00282,0.00331,0.00384,0.00441,0.00495,0.00552,0.00609,0.00684,0.00763,0.00855,0.00946,0.01047,0.01162,0.01284,0.01424,0.01561,0.01707,0.01863,0.02026
45,0.00059,0.00094,0.0014,0.00182,0.00216,0.00261,0.00311,0.00364,0.00422,0.00485,0.00544,0.00595,0.00671,0.00752,0.0084,0.0094,0.0104,0.01156,0.01277,0.01416,0.01561,0.01707,0.01863,0.02026,0.02194
46,0.00063,0.00101,0.00152,0.002,0.00237,0.00287,0.00342,0.00401,0.00465,0.00533,0.00585,0.00655,0.00738,0.00828,0.00925,0.01033,0.01149,0.0127,0.01407,0.01541,0.01707,0.01863,0.02026,0.02194,0.0238
47,0.00066,0.00109,0.00166,0.00219,0.00262,0.00317,0.00377,0.00442,0.00511,0.00573,0.00645,0.00722,0.00813,0.00913,0.01019,0.01138,0.01264,0.01399,0.01534,0.01686,0.01863,0.02026,0.02194,0.0238,0.02586
48,0.00071,0.00118,0.00181,0.00241,0.00289,0.00349,0.00415,0.00487,0.0055,0.00632,0.00711,0.00796,0.00897,0.01007,0.01124,0.01254,0.01391,0.01528,0.01673,0.01841,0.02026,0.02194,0.0238,0.02586,0.02783
