Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
"Row, Column (if applicable)->MinScaleValue:",0,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,,,,,,,,,,,
0,0.00024,,,,,,,,,,,,,,,,,,,,,,,,
1,0.00015,,,,,,,,,,,,,,,,,,,,,,,,
2,0.00013,,,,,,,,,,,,,,,,,,,,,,,,
3,0.00012,,,,,,,,,,,,,,,,,,,,,,,,
4,0.00011,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0001,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0001,,,,,,,,,,,,,,,,,,,,,,,,
7,9E-05,,,,,,,,,,,,,,,,,,,,,,,,
8,9E-05,,,,,,,,,,,,,,,,,,,,,,,,
9,9E-05,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0001,,,,,,,,,,,,,,,,,,,,,,,,
11,0.00011,,,,,,,,,,,,,,,,,,,,,,,,
12,0.00014,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0002,,,,,,,,,,,,,,,,,,,,,,,,
14,0.00029,,,,,,,,,,,,,,,,,,,,,,,,
15,0.00042,,,,,,,,,,,,,,,,,,,,,,,,
16,0.00059,,,,,,,,,,,,,,,,,,,,,,,,
17,0.00078,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0008,,,,,,,,,,,,,,,,,,,,,,,,
19,0.00084,,,,,,,,,,,,,,,,,,,,,,,,
20,0.00087,,,,,,,,,,,,,,,,,,,,,,,,
21,0.0009,,,,,,,,,,,,,,,,,,,,,,,,
22,0.00093,,,,,,,,,,,,,,,,,,,,,,,,
23,0.00096,,,,,,,,,,,,,,,,,,,,,,,,
24,0.001,,,,,,,,,,,,,,,,,,,,,,,,
25,0.00101,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00101,,,,,,,,,,,,,,,,,,,,,,,,
27,0.001,,,,,,,,,,,,,,,,,,,,,,,,
28,0.00098,,,,,,,,,,,,,,,,,,,,,,,,
29,0.00098,,,,,,,,,,,,,,,,,,,,,,,,
30,0.001,,,,,,,,,,,,,,,,,,,,,,,,
31,0.00105,,,,,,,,,,,,,,,,,,,,,,,,
32,0.00113,,,,,,,,,,,,,,,,,,,,,,,,
33,0.00121,,,,,,,,,,,,,,,,,,,,,,,,
34,0.0013,,,,,,,,,,,,,,,,,,,,,,,,
35,0.00141,,,,,,,,,,,,,,,,,,,,,,,,
36,0.00154,,,,,,,,,,,,,,,,,,,,,,,,
37,0.00169,,,,,,,,,,,,,,,,,,,,,,,,
38,0.00183,,,,,,,,,,,,,,,,,,,,,,,,
39,0.00198,,,,,,,,,,,,,,,,,,,,,,,,
40,0.00213,,,,,,,,,,,,,,,,,,,,,,,,
41,0.00227,,,,,,,,,,,,,,,,,,,,,,,,
42,0.00239,,,,,,,,,,,,,,,,,,,,,,,,
43,0.00244,,,,,,,,,,,,,,,,,,,,,,,,
44,0.00251,,,,,,,,,,,,,,,,,,,,,,,,
45,0.00257,,,,,,,,,,,,,,,,,,,,,,,,
46,0.00264,,,,,,,,,,,,,,,,,,,,,,,,
47,0.00271,,,,,,,,,,,,,,,,,,,,,,,,
48,0.00277,,,,,,,,,,,,,,,,,,,,,,,,
49,0.00287,,,,,,,,,,,,,,,,,,,,,,,,
50,0.00301,,,,,,,,,,,,,,,,,,,,,,,,
51,0.00319,,,,,,,,,,,,,,,,,,,,,,,,
52,0.00339,,,,,,,,,,,,,,,,,,,,,,,,
53,0.00363,,,,,,,,,,,,,,,,,,,,,,,,
54,0.0039,,,,,,,,,,,,,,,,,,,,,,,,
55,0.00422,,,,,,,,,,,,,,,,,,,,,,,,
56,0.00458,,,,,,,,,,,,,,,,,,,,,,,,
57,0.005,,,,,,,,,,,,,,,,,,,,,,,,
58,0.00548,,,,,,,,,,,,,,,,,,,,,,,,
59,0.00604,,,,,,,,,,,,,,,,,,,,,,,,
60,0.00667,,,,,,,,,,,,,,,,,,,,,,,,
61,0.0074,,,,,,,,,,,,,,,,,,,,,,,,
62,0.00822,,,,,,,,,,,,,,,,,,,,,,,,
63,0.00914,,,,,,,,,,,,,,,,,,,,,,,,
64,0.01013,,,,,,,,,,,,,,,,,,,,,,,,
65,0.01118,,,,,,,,,,,,,,,,,,,,,,,,
66,0.0123,,,,,,,,,,,,,,,,,,,,,,,,
67,0.0135,,,,,,,,,,,,,,,,,,,,,,,,
68,0.01482,,,,,,,,,,,,,,,,,,,,,,,,
69,0.01634,,,,,,,,,,,,,,,,,,,,,,,,
70,0.01811,,,,,,,,,,,,,,,,,,,,,,,,
71,0.0202,,,,,,,,,,,,,,,,,,,,,,,,
72,0.02263,,,,,,,,,,,,,,,,,,,,,,,,
73,0.02538,,,,,,,,,,,,,,,,,,,,,,,,
74,0.02844,,,,,,,,,,,,,,,,,,,,,,,,
75,0.03176,,,,,,,,,,,,,,,,,,,,,,,,
76,0.03533,,,,,,,,,,,,,,,,,,,,,,,,
77,0.03919,,,,,,,,,,,,,,,,,,,,,,,,
78,0.04346,,,,,,,,,,,,,,,,,,,,,,,,
79,0.04828,,,,,,,,,,,,,,,,,,,,,,,,
80,0.05379,,,,,,,,,,,,,,,,,,,,,,,,
81,0.05998,,,,,,,,,,,,,,,,,,,,,,,,
82,0.06723,,,,,,,,,,,,,,,,,,,,,,,,
83,0.07584,,,,,,,,,,,,,,,,,,,,,,,,
84,0.08573,,,,,,,,,,,,,,,,,,,,,,,,
85,0.09708,,,,,,,,,,,,,,,,,,,,,,,,
86,0.10998,,,,,,,,,,,,,,,,,,,,,,,,
87,0.12444,,,,,,,,,,,,,,,,,,,,,,,,
88,0.14018,,,,,,,,,,,,,,,,,,,,,,,,
89,0.15684,,,,,,,,,,,,,,,,,,,,,,,,
90,0.17405,,,,,,,,,,,,,,,,,,,,,,,,
91,0.19128,,,,,,,,,,,,,,,,,,,,,,,,
92,0.20825,,,,,,,,,,,,,,,,,,,,,,,,
93,0.22451,,,,,,,,,,,,,,,,,,,,,,,,
94,0.23932,,,,,,,,,,,,,,,,,,,,,,,,
95,0.25486,,,,,,,,,,,,,,,,,,,,,,,,
96,0.27329,,,,,,,,,,,,,,,,,,,,,,,,
97,0.29327,,,,,,,,,,,,,,,,,,,,,,,,
98,0.31494,,,,,,,,,,,,,,,,,,,,,,,,
99,0.33788,,,,,,,,,,,,,,,,,,,,,,,,
100,0.36089,,,,,,,,,,,,,,,,,,,,,,,,
101,0.38306,,,,,,,,,,,,,,,,,,,,,,,,
102,0.40502,,,,,,,,,,,,,,,,,,,,,,,,
103,0.42637,,,,,,,,,,,,,,,,,,,,,,,,
104,0.44673,,,,,,,,,,,,,,,,,,,,,,,,
105,0.4657,,,,,,,,,,,,,,,,,,,,,,,,
106,0.48631,,,,,,,,,,,,,,,,,,,,,,,,
107,0.51238,,,,,,,,,,,,,,,,,,,,,,,,
108,0.53981,,,,,,,,,,,,,,,,,,,,,,,,
109,0.56867,,,,,,,,,,,,,,,,,,,,,,,,
110,0.59903,,,,,,,,,,,,,,,,,,,,,,,,
111,0.63096,,,,,,,,,,,,,,,,,,,,,,,,
112,0.66453,,,,,,,,,,,,,,,,,,,,,,,,
113,0.69981,,,,,,,,,,,,,,,,,,,,,,,,
114,0.73687,,,,,,,,,,,,,,,,,,,,,,,,
115,0.77578,,,,,,,,,,,,,,,,,,,,,,,,
116,0.8166,,,,,,,,,,,,,,,,,,,,,,,,
117,0.8594,,,,,,,,,,,,,,,,,,,,,,,,
118,0.90421,,,,,,,,,,,,,,,,,,,,,,,,
119,0.95108,,,,,,,,,,,,,,,,,,,,,,,,
120,1,,,,,,,,,,,,,,,,,,,,,,,,
