Table Name:,2017 Unloaded CSO Smoker Distinct Nonsmoker Female ANB ,,,,,,,,,,,,,,,,,,,,,,,,
Table Identity:,3366,,,,,,,,,,,,,,,,,,,,,,,,
Provider Domain:,soa.org,,,,,,,,,,,,,,,,,,,,,,,,
Provider Name:,American Academy of Actuaries along with the Society of Actuaries,,,,,,,,,,,,,,,,,,,,,,,,
Table Reference:,"Joint American Academy of Actuaries' Life Experience Committee and Society of Actuaries Preferred Mortality Oversight Group CSO Development Subgroup, ""Report on the 2017 CSO  and on the 2017 CSO Preferred Structure Table Development"", American Academy of Actuaries, (2015). Accessed: April, 2016 from https://www.soa.org/resources/experience-studies/2015/2017-cso-tables/",,,,,,,,,,,,,,,,,,,,,,,,
Content Type:,CSO / CET,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2017 Unloaded CSO Smoker Distinct Nonsmoker, Female, Age Nearest Birthday. Minimum Age: 18. Maximum Age: 95.",,,,,,,,,,,,,,,,,,,,,,,,
EffDate:,,,,,,,,,,,,,,,,,,,,,,,,,
Comments:,"The 2017 Commissioners Standard Ordinary Tables (CSO) are a series of mortality tables developed for regulatory uses including CRVM, net premium reserves and non-forfeiture determination. The tables were based on life insurance mortality experience from 2002 to 2009, projected with improvement to 2017.  The tables include a margin to cover the variation of individual company’s mortality around the industry mean. Table uploaded: 02/2016. Select rates at ages 0-17 for certain durations and ultimate rates at ages 18-27, 29, 30, 32 and 37 were modified 09/2016. Data verified: 07/2018.",,,,,,,,,,,,,,,,,,,,,,,,
Keywords:,"Select,CSO/CET,United States of America",,,,,,,,,,,,,,,,,,,,,,,,

Table # ,1,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,"2017 Unloaded CSO Smoker Distinct Nonsmoker, Female, Select and Ultimate Table. Basis: Age Nearest Birthday. Minimum Select Age: 18. Maximum Select Age: 95.",,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,Ordinal Date,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",18,1,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",95,25,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
18,0.00027,0.00027,0.00027,0.00027,0.00027,0.00027,0.00027,0.00027,0.00027,0.00028,0.0003,0.00032,0.00034,0.00036,0.0004,0.00045,0.00051,0.00058,0.00066,0.00074,0.00081,0.00084,0.00085,0.00086,0.00086
19,0.00027,0.00027,0.00025,0.00025,0.00026,0.00026,0.00025,0.00025,0.00025,0.00027,0.0003,0.00032,0.00033,0.00035,0.0004,0.00047,0.00055,0.00064,0.00072,0.00079,0.00084,0.00085,0.00086,0.00086,0.00086
20,0.00023,0.00023,0.00023,0.00024,0.00024,0.00023,0.00023,0.00023,0.00025,0.00028,0.0003,0.00031,0.00032,0.00035,0.00041,0.00049,0.00058,0.00067,0.00075,0.00081,0.00085,0.00086,0.00086,0.00086,0.00087
21,0.00018,0.00021,0.00022,0.00023,0.00022,0.00021,0.00021,0.00023,0.00025,0.00028,0.0003,0.00031,0.00032,0.00036,0.00043,0.00051,0.0006,0.00068,0.00076,0.00082,0.00086,0.00086,0.00086,0.00087,0.00087
22,0.00016,0.0002,0.00021,0.0002,0.00019,0.00019,0.0002,0.00023,0.00026,0.00029,0.0003,0.00031,0.00033,0.00038,0.00046,0.00054,0.00062,0.00069,0.00076,0.00083,0.00086,0.00086,0.00087,0.00087,0.00091
23,0.00014,0.00018,0.00019,0.00017,0.00017,0.00018,0.00021,0.00024,0.00027,0.00029,0.0003,0.00032,0.00035,0.00042,0.0005,0.00057,0.00063,0.00069,0.00077,0.00083,0.00086,0.00087,0.00087,0.00091,0.00095
24,0.00013,0.00016,0.00016,0.00016,0.00017,0.00019,0.00022,0.00025,0.00027,0.00029,0.00031,0.00034,0.00039,0.00046,0.00053,0.00059,0.00063,0.0007,0.00077,0.00083,0.00087,0.00087,0.00091,0.00095,0.001
25,0.00011,0.00014,0.00014,0.00015,0.00017,0.00019,0.00022,0.00025,0.00028,0.00031,0.00033,0.00037,0.00043,0.0005,0.00056,0.0006,0.00065,0.00071,0.00077,0.00083,0.00087,0.00091,0.00095,0.001,0.00107
26,9E-05,0.00013,0.00014,0.00015,0.00017,0.0002,0.00022,0.00026,0.00029,0.00033,0.00036,0.00041,0.00048,0.00055,0.00059,0.00062,0.00066,0.00073,0.00079,0.00085,0.00091,0.00095,0.001,0.00107,0.00115
27,8E-05,0.00012,0.00014,0.00015,0.00017,0.0002,0.00023,0.00027,0.00032,0.00036,0.0004,0.00046,0.00053,0.00059,0.00062,0.00065,0.00069,0.00075,0.00082,0.00089,0.00095,0.001,0.00107,0.00115,0.00126
28,7E-05,0.00012,0.00014,0.00015,0.00017,0.0002,0.00024,0.00029,0.00034,0.00039,0.00044,0.00051,0.00058,0.00062,0.00064,0.00067,0.00072,0.00079,0.00086,0.00093,0.001,0.00107,0.00115,0.00126,0.0014
29,7E-05,0.00012,0.00014,0.00016,0.00018,0.00021,0.00026,0.00032,0.00037,0.00042,0.00048,0.00054,0.0006,0.00064,0.00066,0.0007,0.00076,0.00083,0.0009,0.00099,0.00107,0.00115,0.00126,0.0014,0.00158
30,7E-05,0.00013,0.00015,0.00016,0.00019,0.00023,0.00029,0.00035,0.0004,0.00046,0.00051,0.00057,0.00063,0.00066,0.00069,0.00074,0.00082,0.0009,0.00098,0.00106,0.00115,0.00126,0.0014,0.00158,0.00177
31,7E-05,0.00013,0.00015,0.00017,0.00021,0.00026,0.00032,0.00038,0.00043,0.00048,0.00053,0.00059,0.00065,0.00069,0.00073,0.0008,0.00088,0.00097,0.00105,0.00115,0.00126,0.0014,0.00158,0.00177,0.00197
32,7E-05,0.00014,0.00016,0.00019,0.00024,0.00029,0.00034,0.0004,0.00045,0.0005,0.00055,0.00061,0.00068,0.00073,0.00079,0.00087,0.00096,0.00105,0.00114,0.00125,0.0014,0.00158,0.00177,0.00197,0.00217
33,8E-05,0.00014,0.00018,0.00022,0.00027,0.00032,0.00038,0.00043,0.00047,0.00051,0.00057,0.00063,0.00071,0.00079,0.00086,0.00095,0.00105,0.00114,0.00125,0.00139,0.00158,0.00177,0.00197,0.00217,0.00236
34,8E-05,0.00015,0.0002,0.00025,0.00031,0.00035,0.00041,0.00045,0.00048,0.00053,0.00059,0.00067,0.00077,0.00086,0.00094,0.00103,0.00114,0.00125,0.00138,0.00156,0.00177,0.00197,0.00217,0.00236,0.00255
35,9E-05,0.00015,0.00023,0.00029,0.00034,0.00038,0.00045,0.00048,0.0005,0.00055,0.00062,0.00073,0.00085,0.00094,0.00103,0.00112,0.00124,0.00136,0.00153,0.00174,0.00197,0.00217,0.00236,0.00255,0.00275
36,0.0001,0.00017,0.00026,0.00032,0.00037,0.00042,0.00048,0.0005,0.00053,0.00058,0.00068,0.0008,0.00093,0.00103,0.00112,0.00122,0.00134,0.0015,0.0017,0.00193,0.00217,0.00236,0.00255,0.00275,0.00298
37,0.00011,0.00018,0.00028,0.00036,0.00042,0.00047,0.0005,0.00052,0.00056,0.00064,0.00075,0.00088,0.00102,0.00111,0.00121,0.00132,0.00146,0.00164,0.00187,0.00212,0.00236,0.00255,0.00275,0.00298,0.00325
38,0.00012,0.00019,0.0003,0.00039,0.00045,0.00049,0.00052,0.00055,0.00061,0.00071,0.00084,0.00097,0.00111,0.00121,0.0013,0.00142,0.00159,0.00179,0.00204,0.0023,0.00255,0.00275,0.00298,0.00325,0.00357
39,0.00012,0.0002,0.00031,0.00041,0.00048,0.00052,0.00055,0.0006,0.00067,0.00079,0.00093,0.00107,0.00119,0.0013,0.0014,0.00154,0.00173,0.00195,0.00221,0.00249,0.00275,0.00298,0.00325,0.00357,0.00392
40,0.00013,0.00021,0.00032,0.00042,0.00051,0.00055,0.0006,0.00066,0.00074,0.00088,0.00102,0.00116,0.00128,0.0014,0.00152,0.00168,0.00188,0.00211,0.00238,0.00269,0.00298,0.00325,0.00357,0.00392,0.00432
41,0.00014,0.00022,0.00033,0.00043,0.00053,0.0006,0.00065,0.00072,0.00082,0.00097,0.00112,0.00124,0.00138,0.00151,0.00165,0.00183,0.00205,0.00229,0.00258,0.00292,0.00325,0.00357,0.00392,0.00432,0.00475
42,0.00015,0.00024,0.00034,0.00045,0.00058,0.00065,0.0007,0.00078,0.00091,0.00106,0.0012,0.00133,0.00148,0.00164,0.00181,0.00201,0.00224,0.0025,0.0028,0.00319,0.00357,0.00392,0.00432,0.00475,0.00522
43,0.00016,0.00025,0.00035,0.00051,0.00062,0.0007,0.00075,0.00085,0.00099,0.00115,0.00129,0.00143,0.00161,0.0018,0.002,0.00221,0.00247,0.00276,0.0031,0.0035,0.00392,0.00432,0.00475,0.00522,0.00572
44,0.00018,0.00025,0.00038,0.00057,0.00067,0.00074,0.00081,0.00092,0.00107,0.00123,0.00138,0.00155,0.00176,0.00198,0.00219,0.00243,0.00269,0.003,0.00337,0.00384,0.00432,0.00475,0.00522,0.00572,0.00627
45,0.0002,0.00026,0.00042,0.00064,0.00073,0.00079,0.00087,0.001,0.00116,0.00132,0.00149,0.00169,0.00193,0.00218,0.00242,0.00266,0.00296,0.00331,0.00374,0.00423,0.00475,0.00522,0.00572,0.00627,0.00689
46,0.00022,0.00027,0.00047,0.00068,0.00078,0.00086,0.00095,0.00109,0.00125,0.00142,0.00161,0.00185,0.00215,0.00241,0.00265,0.00294,0.00328,0.00366,0.00412,0.00464,0.00522,0.00572,0.00627,0.00689,0.00761
47,0.00024,0.00028,0.00054,0.00073,0.00084,0.00094,0.00104,0.00119,0.00135,0.00153,0.00175,0.00205,0.00237,0.00265,0.00293,0.00326,0.00363,0.00405,0.00453,0.00509,0.00572,0.00627,0.00689,0.00761,0.00847
48,0.00025,0.0003,0.00064,0.0008,0.00093,0.00102,0.00114,0.0013,0.00146,0.00166,0.00192,0.00226,0.00263,0.00293,0.00324,0.0036,0.00402,0.00447,0.005,0.00559,0.00627,0.00689,0.00761,0.00847,0.00948
49,0.00026,0.00036,0.00075,0.0009,0.00102,0.00113,0.00126,0.00142,0.00158,0.00181,0.00211,0.00248,0.00288,0.00321,0.00353,0.00394,0.00441,0.00491,0.00547,0.00612,0.00689,0.00761,0.00847,0.00948,0.01066
50,0.00027,0.00046,0.00087,0.00101,0.00112,0.00124,0.0014,0.00154,0.00172,0.00198,0.00231,0.0027,0.0031,0.00345,0.00382,0.0043,0.00482,0.00534,0.00596,0.00671,0.00761,0.00847,0.00948,0.01066,0.01204
51,0.00028,0.0006,0.00098,0.00111,0.00124,0.00138,0.00152,0.00168,0.00189,0.00218,0.00254,0.00292,0.00332,0.0037,0.00414,0.00468,0.00524,0.00581,0.00649,0.00737,0.00847,0.00948,0.01066,0.01204,0.01363
52,0.00028,0.00074,0.00106,0.00119,0.00134,0.00149,0.00165,0.00184,0.00209,0.00242,0.00279,0.00316,0.00356,0.00399,0.0045,0.00511,0.00567,0.00629,0.00712,0.00821,0.00948,0.01066,0.01204,0.01363,0.01544
53,0.00029,0.00083,0.0011,0.00129,0.00146,0.00163,0.00182,0.00204,0.00233,0.00269,0.00306,0.00341,0.00382,0.00431,0.00491,0.00556,0.00623,0.00703,0.00801,0.00919,0.01066,0.01204,0.01363,0.01544,0.01756
54,0.0003,0.00085,0.00115,0.00136,0.00159,0.0018,0.00202,0.00228,0.00261,0.00298,0.00334,0.00369,0.00414,0.00472,0.00541,0.00616,0.00695,0.00791,0.00905,0.01041,0.01204,0.01363,0.01544,0.01756,0.02001
55,0.00031,0.00086,0.00118,0.00141,0.00175,0.00199,0.00226,0.00255,0.00291,0.00328,0.00362,0.00398,0.00451,0.0052,0.006,0.00688,0.00781,0.00891,0.01032,0.01204,0.01363,0.01544,0.01756,0.02001,0.02295
56,0.00032,0.00087,0.0012,0.0015,0.00195,0.00224,0.00254,0.00285,0.00321,0.00356,0.00389,0.00431,0.00495,0.00577,0.0067,0.00775,0.00889,0.01018,0.01175,0.01363,0.01544,0.01756,0.02001,0.02295,0.02651
57,0.00033,0.00089,0.00121,0.00163,0.0022,0.00253,0.00285,0.00316,0.0035,0.00381,0.00415,0.00466,0.00544,0.0064,0.0075,0.00873,0.01004,0.01152,0.0133,0.01544,0.01756,0.02001,0.02295,0.02651,0.03063
58,0.00034,0.00091,0.00125,0.00184,0.00248,0.00283,0.00315,0.00344,0.00373,0.00404,0.00444,0.00509,0.00605,0.00718,0.00847,0.00989,0.0114,0.01307,0.01511,0.01756,0.02001,0.02295,0.02651,0.03063,0.0347
59,0.00037,0.00094,0.00132,0.00212,0.0028,0.00314,0.00343,0.00367,0.00395,0.00429,0.00482,0.00566,0.00683,0.00816,0.00964,0.01127,0.01302,0.01492,0.01724,0.02001,0.02295,0.02651,0.03063,0.0347,0.03915
60,0.00042,0.00097,0.00151,0.00241,0.00311,0.00342,0.00365,0.00387,0.00416,0.00461,0.00532,0.0064,0.00779,0.0093,0.01102,0.01286,0.01481,0.01687,0.01966,0.02295,0.02651,0.03063,0.0347,0.03915,0.0445
61,0.0005,0.00101,0.00178,0.00266,0.00338,0.00363,0.00383,0.00407,0.00445,0.00506,0.00601,0.00735,0.00896,0.01072,0.01261,0.01467,0.01684,0.01936,0.02266,0.02651,0.03063,0.0347,0.03915,0.0445,0.0527
62,0.0006,0.00113,0.00211,0.00283,0.00358,0.00379,0.004,0.00432,0.00485,0.00569,0.00691,0.00851,0.01031,0.01222,0.01431,0.01662,0.01926,0.02262,0.02651,0.03063,0.0347,0.03915,0.0445,0.0527,0.05999
63,0.00072,0.00129,0.00247,0.00314,0.00372,0.00398,0.00428,0.00478,0.00549,0.00656,0.00806,0.00989,0.01187,0.01398,0.01632,0.01898,0.02239,0.02602,0.03063,0.0347,0.03915,0.0445,0.0527,0.05999,0.06816
64,0.00083,0.0016,0.00277,0.00335,0.00381,0.00421,0.00478,0.00546,0.0063,0.00766,0.00939,0.01136,0.01347,0.01578,0.01844,0.02203,0.02593,0.03063,0.0347,0.03915,0.0445,0.0527,0.05999,0.06816,0.07776
65,0.00092,0.00197,0.00301,0.00349,0.004,0.00468,0.00542,0.0062,0.00734,0.00902,0.01095,0.01301,0.0153,0.01779,0.02091,0.02532,0.02985,0.0347,0.03915,0.0445,0.0527,0.05999,0.06816,0.07776,0.08843
66,0.00102,0.00208,0.00318,0.0036,0.00423,0.00518,0.00609,0.00714,0.00861,0.01062,0.0127,0.01482,0.01731,0.02046,0.02408,0.02889,0.0347,0.03915,0.0445,0.0527,0.05999,0.06816,0.07776,0.08843,0.10015
67,0.00113,0.00217,0.00332,0.00373,0.00459,0.00577,0.00692,0.00827,0.01009,0.01242,0.01473,0.01717,0.01962,0.02304,0.02705,0.03266,0.03915,0.0445,0.0527,0.05999,0.06816,0.07776,0.08843,0.10015,0.11265
68,0.00126,0.00225,0.00344,0.004,0.0051,0.00649,0.0079,0.00958,0.01177,0.01447,0.01703,0.01951,0.02292,0.02683,0.03048,0.03729,0.0445,0.0527,0.05999,0.06816,0.07776,0.08843,0.10015,0.11265,0.12626
69,0.00139,0.00234,0.00358,0.00441,0.00573,0.00733,0.009,0.01102,0.01364,0.01675,0.0194,0.0228,0.02661,0.03043,0.03643,0.04425,0.0527,0.05999,0.06816,0.07776,0.08843,0.10015,0.11265,0.12626,0.14096
70,0.00155,0.00245,0.00375,0.00483,0.00649,0.00825,0.01017,0.01259,0.01572,0.01929,0.02268,0.02638,0.03042,0.0361,0.044,0.0527,0.05999,0.06816,0.07776,0.08843,0.10015,0.11265,0.12626,0.14096,0.1558
71,0.00171,0.0026,0.00397,0.00539,0.00733,0.00923,0.01143,0.01431,0.01801,0.02209,0.02616,0.03006,0.0356,0.04266,0.05146,0.05999,0.06816,0.07776,0.08843,0.10015,0.11265,0.12626,0.14096,0.1558,0.17179
72,0.0019,0.00278,0.00425,0.00616,0.00821,0.01024,0.01277,0.01619,0.02055,0.02537,0.02986,0.03408,0.04072,0.04932,0.05903,0.06816,0.07776,0.08843,0.10015,0.11265,0.12626,0.14096,0.1558,0.17179,0.19155
73,0.00211,0.00302,0.00462,0.00699,0.00912,0.0113,0.01421,0.01824,0.02349,0.02896,0.03383,0.0395,0.04753,0.05743,0.06816,0.07776,0.08843,0.10015,0.11265,0.12626,0.14096,0.1558,0.17179,0.19155,0.21329
74,0.00242,0.00332,0.0051,0.00788,0.01008,0.01244,0.01579,0.02066,0.02679,0.03292,0.03825,0.04505,0.05431,0.06572,0.07776,0.08843,0.10015,0.11265,0.12626,0.14096,0.1558,0.17179,0.19155,0.21329,0.23702
75,0.00279,0.00365,0.00572,0.00884,0.01108,0.01367,0.01766,0.02341,0.03049,0.03737,0.04312,0.05127,0.06195,0.07533,0.08843,0.10015,0.11265,0.12626,0.14096,0.1558,0.17179,0.19155,0.21329,0.23702,0.26244
76,0.00321,0.00409,0.00649,0.00987,0.01215,0.01513,0.01981,0.02653,0.03474,0.04237,0.04986,0.05991,0.07239,0.08645,0.10015,0.11265,0.12626,0.14096,0.1558,0.17179,0.19155,0.21329,0.23702,0.26244,0.28919
77,0.00362,0.00458,0.00742,0.01096,0.0134,0.01681,0.02228,0.0302,0.03962,0.04797,0.05836,0.07026,0.0844,0.10015,0.11265,0.12626,0.14096,0.1558,0.17179,0.19155,0.21329,0.23702,0.26244,0.28919,0.3133
78,0.00409,0.00522,0.00852,0.01221,0.0148,0.01873,0.02523,0.03454,0.04528,0.05521,0.06728,0.08152,0.09862,0.11265,0.12626,0.14096,0.1558,0.17179,0.19155,0.21329,0.23702,0.26244,0.28919,0.3133,0.33747
79,0.00457,0.00598,0.00988,0.01357,0.01637,0.02105,0.0288,0.03974,0.05181,0.06471,0.07961,0.09694,0.11265,0.12626,0.14096,0.1558,0.17179,0.19155,0.21329,0.23702,0.26244,0.28919,0.3133,0.33747,0.36133
80,0.00473,0.00693,0.01145,0.01504,0.01822,0.02386,0.03319,0.04597,0.06075,0.07678,0.09434,0.11265,0.12626,0.14096,0.1558,0.17179,0.19155,0.21329,0.23702,0.26244,0.28919,0.3133,0.33747,0.36133,0.3845
