Table Name:,"2001 VBT Preferred Select and Ultimate - Female Smoker, ALB",,,,,,,,,,,,,,,,,,,,,,,,
Table Identity:,1134,,,,,,,,,,,,,,,,,,,,,,,,
Provider Domain:,soa.org,,,,,,,,,,,,,,,,,,,,,,,,
Provider Name:,Society of Actuaries,,,,,,,,,,,,,,,,,,,,,,,,
Table Reference:,"Tillinghast, “American Council of Life Insurers: Preferred Version of 2001 CSO Mortality Tables”, Towers Perrin (Atlanta, 2006) Attachment B.2.b.iv. Accessed: January, 2013 from http://www.soa.org/2001-CSO-Preferred-Class-Structure-Mortality-Tables.pdf",,,,,,,,,,,,,,,,,,,,,,,,
Content Type:,Insured Lives Mortality,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,2001 Valuation Basic Table (VBT) Preferred Select and Ultimate Table - Female Smoker. Basis: Age Last Birthday. Minimum Select Age: 0. Maximum Select Age: 99. Minimum Ultimate Age: 25. Maximum Ultimate Age: 120.,,,,,,,,,,,,,,,,,,,,,,,,
EffDate:,,,,,,,,,,,,,,,,,,,,,,,,,
Comments:,"Study Data: A preferred version of the 2001 Valuation Basic Table (VBT) table (See SOA Table Identities 1148-1153) was not initially constructed as data on preferred risk mortality was considered inadequate at the time. In 2005, the American Council of Life Insurers engaged Tillinghast to develop a version of the 2001 Commissioners Standard Ordinary (CSO) for preferred risks. Tillinghast relied on the initial 1990-95 SOA experience data underlying the 2001 CSO tables (See SOA Table Identities 1136-1141) and 2001 VBT. They then supplemented the information with data from the SOA’s 1996-2001 individual life mortality experience study, the 1994 and 2005 SOA Preferred Risk Underwriting surveys, Tillinghast’s Old Age Mortality Study (TOAMS), Steve Cox’s 2004 article “Does Preferred Wear Off”, and various medical studies for specific health impairments. Methodology: Both the 2001 CSO and 2001 VBT non-smoker mortality tables were split into super-preferred, preferred, and residual standard. The respective CSO and VBT smoker tables were split into preferred and residual standard. Ratios of preferred risk to aggregate risk, as well as the principle of conservation of deaths, were used to accomplish the splits. Estimates were derived for the level of preferred risk early duration mortality and the persistence of preferred risk mortality differentials. The effects of underwriting selection were incorporated by looking at specific health impairments, namely: alcoholism, cholesterol levels, blood pressure and diabetes. The same loading formula for developing the 2001 CSO from the 2001 VBT was used to construct the preferred risk tables. Data Transcription Errors: None. Data Certified: 01/2013.",,,,,,,,,,,,,,,,,,,,,,,,
Keywords:,"Select,Insured Lives Mortality,United States of America",,,,,,,,,,,,,,,,,,,,,,,,

Table # ,1,,,,,,,,,,,,,,,,,,,,,,,,
Table Description:,2001 Valuation Basic Table (VBT) Preferred Select and Ultimate Table - Female Smoker. Basis: Age Last Birthday. Minimum Select Age: 0. Maximum Select Age: 99.,,,,,,,,,,,,,,,,,,,,,,,,
Nation:,United States of America,,,,,,,,,,,,,,,,,,,,,,,,
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Dates,Dates,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,Duration,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",0,1,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",99,25,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,1,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,,,,,,,,,,,,,,,,,0.00024,0.00027,0.0003,0.00033,0.00035,0.00037,0.00038,0.0004,0.00042
1,,,,,,,,,,,,,,,,0.00023,0.00026,0.00029,0.00031,0.00035,0.00037,0.00038,0.0004,0.00042,0.00045
2,,,,,,,,,,,,,,,0.00023,0.00026,0.00028,0.00031,0.00033,0.00036,0.00038,0.0004,0.00042,0.00045,0.00048
3,,,,,,,,,,,,,,0.00023,0.00025,0.00028,0.0003,0.00033,0.00035,0.00038,0.0004,0.00042,0.00045,0.00048,0.00052
4,,,,,,,,,,,,,0.00022,0.00025,0.00028,0.0003,0.00033,0.00035,0.00038,0.0004,0.00042,0.00045,0.00048,0.00052,0.00056
5,,,,,,,,,,,,0.00022,0.00024,0.00027,0.0003,0.00033,0.00035,0.00038,0.0004,0.00042,0.00044,0.00048,0.00051,0.00055,0.00058
6,,,,,,,,,,,0.00021,0.00024,0.00027,0.00029,0.00032,0.00035,0.00037,0.0004,0.00042,0.00044,0.00048,0.00051,0.00055,0.00058,0.00061
7,,,,,,,,,,0.00021,0.00023,0.00026,0.00029,0.00031,0.00034,0.00037,0.00039,0.00042,0.00044,0.00048,0.00051,0.00055,0.00058,0.00061,0.00066
8,,,,,,,,,0.00021,0.00023,0.00026,0.00028,0.00031,0.00033,0.00036,0.00039,0.00042,0.00044,0.00047,0.00051,0.00055,0.00058,0.00061,0.00066,0.00072
9,,,,,,,,0.00021,0.00023,0.00026,0.00027,0.0003,0.00033,0.00035,0.00038,0.00042,0.00044,0.00047,0.00051,0.00055,0.00058,0.00061,0.00066,0.00072,0.00078
10,,,,,,,0.0002,0.00023,0.00024,0.00027,0.00029,0.00032,0.00035,0.00037,0.00041,0.00044,0.00047,0.0005,0.00055,0.00058,0.00061,0.00066,0.00071,0.00077,0.00086
11,,,,,,0.00019,0.00022,0.00024,0.00026,0.00028,0.00031,0.00034,0.00037,0.0004,0.00043,0.00047,0.0005,0.00054,0.00058,0.00061,0.00066,0.00071,0.00077,0.00085,0.00093
12,,,,,0.00019,0.00021,0.00023,0.00026,0.00027,0.0003,0.00033,0.00036,0.0004,0.00042,0.00045,0.0005,0.00054,0.00057,0.00061,0.00066,0.00071,0.00077,0.00085,0.00093,0.00101
13,,,,0.00019,0.0002,0.00022,0.00024,0.00027,0.00029,0.00032,0.00035,0.00038,0.00042,0.00045,0.00049,0.00054,0.00057,0.00061,0.00066,0.00071,0.00077,0.00085,0.00093,0.001,0.00108
14,,,0.00019,0.0002,0.00022,0.00024,0.00026,0.00027,0.00031,0.00033,0.00037,0.00041,0.00044,0.00048,0.00053,0.00057,0.00061,0.00066,0.00071,0.00077,0.00085,0.00093,0.001,0.00107,0.00114
15,,0.00019,0.0002,0.00021,0.00023,0.00025,0.00027,0.00029,0.00033,0.00035,0.00039,0.00043,0.00047,0.00052,0.00057,0.00061,0.00066,0.00071,0.00077,0.00085,0.00093,0.00099,0.00106,0.00114,0.00121
16,0.00019,0.0002,0.00021,0.00022,0.00024,0.00026,0.00028,0.00031,0.00035,0.00037,0.00041,0.00046,0.00051,0.00056,0.00061,0.00066,0.00071,0.00077,0.00085,0.00093,0.00099,0.00106,0.00114,0.00121,0.00129
17,0.0002,0.00021,0.00022,0.00023,0.00025,0.00027,0.0003,0.00033,0.00037,0.0004,0.00045,0.0005,0.00055,0.00061,0.00066,0.00071,0.00077,0.00085,0.00093,0.00099,0.00106,0.00114,0.00121,0.00129,0.00138
18,0.0002,0.00022,0.00022,0.00024,0.00026,0.00028,0.00032,0.00035,0.0004,0.00043,0.00049,0.00055,0.0006,0.00066,0.00071,0.00077,0.00085,0.00093,0.00099,0.00106,0.00114,0.00121,0.00129,0.00138,0.0015
19,0.0002,0.00022,0.00023,0.00025,0.00027,0.0003,0.00034,0.00037,0.00042,0.00047,0.00053,0.00059,0.00066,0.00071,0.00077,0.00085,0.00093,0.00099,0.00106,0.00114,0.00121,0.00129,0.00138,0.0015,0.00164
20,0.00019,0.00021,0.00023,0.00025,0.00028,0.00033,0.00037,0.0004,0.00046,0.00051,0.00057,0.00064,0.00071,0.00077,0.00083,0.00092,0.00099,0.00106,0.00114,0.00121,0.00129,0.00138,0.0015,0.00164,0.0018
21,0.00018,0.0002,0.00023,0.00026,0.0003,0.00035,0.0004,0.00044,0.0005,0.00056,0.00062,0.00069,0.00075,0.00083,0.0009,0.00098,0.00105,0.00113,0.00121,0.00129,0.00138,0.0015,0.00164,0.0018,0.00197
22,0.00017,0.0002,0.00024,0.00027,0.00032,0.00037,0.00042,0.00048,0.00054,0.00061,0.00067,0.00075,0.00081,0.00089,0.00096,0.00103,0.00111,0.0012,0.00129,0.00138,0.0015,0.00164,0.0018,0.00197,0.00219
23,0.00016,0.0002,0.00024,0.00028,0.00033,0.00039,0.00044,0.00051,0.00058,0.00065,0.00072,0.00079,0.00087,0.00094,0.00101,0.00109,0.00117,0.00127,0.00137,0.0015,0.00164,0.0018,0.00197,0.00219,0.00246
24,0.00015,0.0002,0.00025,0.00029,0.00034,0.00041,0.00047,0.00054,0.00061,0.00069,0.00077,0.00083,0.00091,0.00098,0.00106,0.00116,0.00125,0.00136,0.00147,0.00164,0.0018,0.00197,0.00219,0.00246,0.00279
25,0.00015,0.0002,0.00026,0.00031,0.00037,0.00043,0.00051,0.00058,0.00065,0.00073,0.00081,0.00088,0.00096,0.00104,0.00113,0.00123,0.00135,0.00147,0.00163,0.00179,0.00197,0.00218,0.00246,0.00279,0.00318
26,0.00015,0.00021,0.00027,0.00033,0.0004,0.00047,0.00054,0.00061,0.00069,0.00077,0.00084,0.00092,0.00101,0.0011,0.0012,0.00132,0.00147,0.00162,0.00179,0.00197,0.00218,0.00246,0.00279,0.00318,0.00363
27,0.00017,0.00022,0.00028,0.00035,0.00042,0.00049,0.00056,0.00063,0.00072,0.00079,0.00088,0.00097,0.00107,0.00117,0.00129,0.00144,0.0016,0.00178,0.00197,0.00218,0.00246,0.00279,0.00318,0.00363,0.00413
28,0.00018,0.00024,0.0003,0.00037,0.00044,0.00051,0.00058,0.00067,0.00075,0.00083,0.00092,0.00103,0.00114,0.00126,0.0014,0.00158,0.00176,0.00197,0.00218,0.00246,0.00279,0.00318,0.00363,0.00413,0.00467
29,0.0002,0.00026,0.00032,0.00039,0.00046,0.00054,0.00061,0.00069,0.00077,0.00087,0.00097,0.00109,0.00122,0.00137,0.00154,0.00173,0.00196,0.00218,0.00246,0.00279,0.00318,0.00363,0.00413,0.00467,0.00526
30,0.00022,0.00028,0.00034,0.00041,0.00048,0.00056,0.00063,0.00072,0.00081,0.00092,0.00103,0.00117,0.00133,0.0015,0.00171,0.00193,0.00218,0.00246,0.00279,0.00318,0.00363,0.00413,0.00467,0.00526,0.00591
31,0.00024,0.0003,0.00036,0.00043,0.0005,0.00058,0.00067,0.00076,0.00086,0.00099,0.00112,0.00128,0.00146,0.00167,0.00191,0.00216,0.00246,0.00279,0.00318,0.00363,0.00413,0.00467,0.00526,0.00591,0.00661
32,0.00026,0.00031,0.00038,0.00045,0.00053,0.00062,0.00071,0.00081,0.00094,0.00109,0.00125,0.00143,0.00163,0.00186,0.00214,0.00243,0.00278,0.00317,0.00363,0.00413,0.00467,0.00526,0.00591,0.00661,0.00737
33,0.00027,0.00032,0.0004,0.00047,0.00056,0.00066,0.00077,0.00089,0.00103,0.0012,0.00139,0.0016,0.00184,0.0021,0.0024,0.00274,0.00312,0.00363,0.00413,0.00467,0.00526,0.00591,0.00661,0.00737,0.00815
34,0.00027,0.00033,0.00041,0.0005,0.0006,0.00072,0.00084,0.00099,0.00116,0.00135,0.00155,0.0018,0.00207,0.00237,0.0027,0.00309,0.00352,0.00413,0.00467,0.00526,0.00591,0.00661,0.00737,0.00815,0.00898
35,0.00027,0.00035,0.00043,0.00054,0.00065,0.00078,0.00094,0.00111,0.0013,0.00151,0.00175,0.00202,0.00233,0.00265,0.00302,0.00345,0.00392,0.00467,0.00526,0.00591,0.00661,0.00737,0.00815,0.00898,0.00981
36,0.00028,0.00037,0.00046,0.00058,0.00071,0.00086,0.00104,0.00123,0.00145,0.00169,0.00196,0.00226,0.00259,0.00295,0.00336,0.00381,0.00432,0.00526,0.00579,0.00661,0.00737,0.00815,0.00898,0.00981,0.01061
37,0.0003,0.00039,0.0005,0.00063,0.00078,0.00096,0.00115,0.00137,0.00162,0.00189,0.00218,0.00252,0.00287,0.00328,0.00372,0.00421,0.00475,0.00559,0.00621,0.00727,0.00815,0.00898,0.00981,0.01061,0.01148
38,0.00032,0.00043,0.00054,0.0007,0.00087,0.00107,0.00129,0.00153,0.00181,0.00211,0.00243,0.0028,0.00319,0.00363,0.0041,0.00463,0.00521,0.00587,0.00664,0.00791,0.00889,0.00981,0.01061,0.01148,0.01241
39,0.00036,0.00047,0.00061,0.00079,0.00098,0.0012,0.00145,0.00171,0.00201,0.00235,0.0027,0.0031,0.00353,0.00401,0.00451,0.00508,0.00571,0.0064,0.00719,0.00859,0.00956,0.01061,0.01143,0.01241,0.01335
40,0.0004,0.00053,0.00071,0.00089,0.0011,0.00135,0.00161,0.00191,0.00225,0.00261,0.003,0.00343,0.0039,0.00442,0.00497,0.00557,0.00624,0.00697,0.00784,0.00924,0.01029,0.01137,0.01236,0.01335,0.01437
41,0.00046,0.00062,0.00081,0.00102,0.00125,0.00152,0.00181,0.00214,0.0025,0.0029,0.00332,0.0038,0.00431,0.00486,0.00546,0.0061,0.00681,0.00758,0.00852,0.00993,0.01108,0.01223,0.01335,0.01435,0.01546
42,0.00053,0.00072,0.00093,0.00117,0.00143,0.00172,0.00205,0.0024,0.00279,0.00322,0.00368,0.00419,0.00474,0.00534,0.00598,0.00667,0.00742,0.00824,0.00928,0.01064,0.01191,0.01319,0.01428,0.01539,0.0166
43,0.00061,0.00083,0.00107,0.00134,0.00163,0.00195,0.0023,0.0027,0.00312,0.00358,0.00408,0.00462,0.00521,0.00586,0.00655,0.00727,0.00807,0.00895,0.01005,0.01145,0.01284,0.01403,0.01521,0.01647,0.01779
44,0.00071,0.00096,0.00123,0.00154,0.00186,0.00222,0.00259,0.00302,0.00348,0.00397,0.0045,0.00508,0.00572,0.00641,0.00714,0.00792,0.00877,0.0097,0.01088,0.01239,0.01367,0.01487,0.0162,0.01758,0.01911
45,0.00081,0.0011,0.00141,0.00174,0.0021,0.00249,0.00291,0.00336,0.00386,0.00439,0.00496,0.00558,0.00626,0.00699,0.00777,0.00859,0.0095,0.01049,0.0119,0.01323,0.01447,0.0158,0.01723,0.0188,0.02061
46,0.00092,0.00124,0.00158,0.00195,0.00236,0.00278,0.00323,0.00372,0.00425,0.00482,0.00543,0.0061,0.00681,0.00759,0.00842,0.0093,0.01026,0.01131,0.01298,0.01401,0.01537,0.0168,0.01836,0.0202,0.02229
47,0.00104,0.0014,0.00177,0.00218,0.00261,0.00307,0.00356,0.00408,0.00465,0.00527,0.00592,0.00663,0.00739,0.00822,0.00911,0.01004,0.01106,0.01219,0.01376,0.01482,0.01628,0.01787,0.01969,0.02181,0.02416
48,0.00113,0.00152,0.00196,0.0024,0.00286,0.00335,0.00388,0.00444,0.00506,0.00571,0.00641,0.00717,0.00799,0.00888,0.00983,0.01083,0.01192,0.01315,0.01447,0.01565,0.01726,0.01906,0.02116,0.02357,0.02626
49,0.00119,0.00165,0.00215,0.00261,0.0031,0.00363,0.00419,0.00479,0.00545,0.00616,0.00691,0.00773,0.00861,0.00957,0.0106,0.01167,0.01285,0.01417,0.01546,0.01672,0.01848,0.02051,0.02283,0.02549,0.02849
50,0.00127,0.00187,0.00236,0.00283,0.00334,0.00389,0.0045,0.00514,0.00584,0.0066,0.00742,0.00831,0.00926,0.01029,0.0114,0.01257,0.01385,0.01527,0.01652,0.01809,0.02004,0.02228,0.02482,0.02772,0.03102
51,0.00135,0.00211,0.00258,0.00306,0.00359,0.00416,0.0048,0.00549,0.00625,0.00706,0.00794,0.0089,0.00994,0.01106,0.01227,0.01354,0.01495,0.0163,0.01774,0.01964,0.0218,0.02425,0.02705,0.03027,0.03392
52,0.00144,0.00233,0.00282,0.00329,0.00383,0.00443,0.00509,0.00583,0.00665,0.00754,0.00849,0.00953,0.01067,0.01189,0.01321,0.01461,0.01599,0.01742,0.01923,0.02133,0.02372,0.02639,0.02948,0.03302,0.03652
53,0.00154,0.00253,0.00306,0.00353,0.00408,0.00471,0.00542,0.0062,0.00707,0.00803,0.00907,0.01022,0.01146,0.01281,0.01426,0.0157,0.01713,0.01887,0.02089,0.02319,0.0258,0.02871,0.03211,0.03515,0.03947
54,0.00163,0.00274,0.00333,0.0038,0.00436,0.00501,0.00577,0.00659,0.00753,0.00857,0.00972,0.01098,0.01235,0.01384,0.01544,0.01689,0.01856,0.02048,0.02271,0.02524,0.02807,0.03093,0.03384,0.03766,0.04317
55,0.00176,0.00293,0.00358,0.00406,0.00464,0.00532,0.00611,0.007,0.00801,0.00915,0.0104,0.01179,0.01329,0.01494,0.01673,0.0183,0.02015,0.02227,0.02471,0.02746,0.03033,0.03245,0.03611,0.04133,0.04718
56,0.00187,0.00309,0.00382,0.00432,0.00492,0.00564,0.00648,0.00743,0.00853,0.00975,0.01112,0.01264,0.01431,0.01614,0.01813,0.01987,0.02191,0.02425,0.02691,0.0298,0.03215,0.03526,0.03983,0.04537,0.04997
57,0.00191,0.00326,0.00407,0.00459,0.00524,0.00601,0.00691,0.00795,0.00913,0.01047,0.01195,0.01361,0.01546,0.01747,0.01969,0.02161,0.02386,0.02643,0.0293,0.03185,0.03495,0.03938,0.04379,0.04823,0.05176
58,0.00198,0.00341,0.00432,0.00488,0.00558,0.00642,0.0074,0.00854,0.00982,0.01129,0.01292,0.01473,0.01676,0.01898,0.02143,0.02355,0.02602,0.02884,0.03156,0.03463,0.0388,0.04331,0.04681,0.05022,0.05426
59,0.00207,0.00354,0.00457,0.00518,0.00593,0.00686,0.00794,0.00919,0.01061,0.01223,0.01402,0.01601,0.01825,0.02069,0.02337,0.02573,0.02844,0.03131,0.0343,0.03826,0.04268,0.04633,0.04883,0.05232,0.05742
60,0.00212,0.00367,0.0048,0.00545,0.0063,0.00732,0.00851,0.00989,0.01148,0.01328,0.01526,0.01747,0.01992,0.02261,0.02557,0.02817,0.03107,0.03402,0.03769,0.04204,0.04574,0.04843,0.05148,0.05519,0.06436
61,0.00221,0.0038,0.00501,0.00572,0.00664,0.00777,0.00909,0.01064,0.01241,0.01442,0.01663,0.01909,0.0218,0.02479,0.02805,0.03091,0.03374,0.03715,0.04141,0.04517,0.04801,0.05129,0.05513,0.06278,0.07197
62,0.00238,0.00392,0.0052,0.00596,0.00695,0.0082,0.00968,0.01141,0.0134,0.01565,0.01814,0.02089,0.02392,0.02724,0.03084,0.03357,0.03661,0.04086,0.04465,0.04763,0.05109,0.05498,0.06228,0.07071,0.0777
63,0.0026,0.00448,0.00538,0.00618,0.00725,0.00862,0.01027,0.01222,0.01446,0.01699,0.01979,0.02288,0.02626,0.02995,0.03348,0.03623,0.04023,0.04417,0.04728,0.05091,0.05483,0.06159,0.06968,0.07625,0.08409
64,0.00287,0.00509,0.00557,0.00639,0.00755,0.00906,0.0109,0.01308,0.01559,0.01845,0.02159,0.02506,0.02883,0.03294,0.03611,0.03968,0.04349,0.04687,0.05072,0.05478,0.06089,0.06842,0.07493,0.08281,0.09111
65,0.00306,0.00531,0.00577,0.00662,0.00787,0.00952,0.01154,0.01396,0.01675,0.01993,0.02342,0.02726,0.03145,0.03598,0.03929,0.04294,0.04637,0.05052,0.05464,0.06031,0.06729,0.07337,0.08153,0.09006,0.09959
66,0.00312,0.00557,0.006,0.00689,0.00824,0.01003,0.01225,0.0149,0.01796,0.02143,0.02527,0.02948,0.03407,0.03902,0.04253,0.04592,0.05034,0.05449,0.0597,0.06603,0.07205,0.07977,0.08889,0.09826,0.10922
67,0.00331,0.00583,0.00627,0.00723,0.00869,0.01065,0.01308,0.01598,0.01932,0.0231,0.02729,0.03189,0.0369,0.04226,0.04578,0.04965,0.05434,0.05879,0.06498,0.0706,0.07813,0.08702,0.09661,0.10753,0.11966
68,0.00366,0.00612,0.00661,0.00766,0.00926,0.0114,0.01406,0.01721,0.02084,0.02493,0.0295,0.03449,0.03993,0.04563,0.04926,0.05336,0.05792,0.06328,0.06927,0.07621,0.08502,0.09451,0.10548,0.11847,0.13251
