Row\Column,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
Scaling Factor:,0,,,,,,,,,,,,,,,,,,,,,,,,
Data Type:,Floating Point,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->id:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->ScaleType:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->AxisName:",Age,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MinScaleValue:",25,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->MaxScaleValue:",120,,,,,,,,,,,,,,,,,,,,,,,,
"Row, Column (if applicable)->Increment:",1,,,,,,,,,,,,,,,,,,,,,,,,

Row\Column,1,,,,,,,,,,,,,,,,,,,,,,,,
25,0.00163,,,,,,,,,,,,,,,,,,,,,,,,
26,0.00171,,,,,,,,,,,,,,,,,,,,,,,,
27,0.00181,,,,,,,,,,,,,,,,,,,,,,,,
28,0.00182,,,,,,,,,,,,,,,,,,,,,,,,
29,0.00181,,,,,,,,,,,,,,,,,,,,,,,,
30,0.0018,,,,,,,,,,,,,,,,,,,,,,,,
31,0.0018,,,,,,,,,,,,,,,,,,,,,,,,
32,0.00182,,,,,,,,,,,,,,,,,,,,,,,,
33,0.00187,,,,,,,,,,,,,,,,,,,,,,,,
34,0.00194,,,,,,,,,,,,,,,,,,,,,,,,
35,0.002,,,,,,,,,,,,,,,,,,,,,,,,
36,0.00211,,,,,,,,,,,,,,,,,,,,,,,,
37,0.00223,,,,,,,,,,,,,,,,,,,,,,,,
38,0.0024,,,,,,,,,,,,,,,,,,,,,,,,
39,0.00257,,,,,,,,,,,,,,,,,,,,,,,,
40,0.00277,,,,,,,,,,,,,,,,,,,,,,,,
41,0.00303,,,,,,,,,,,,,,,,,,,,,,,,
42,0.00333,,,,,,,,,,,,,,,,,,,,,,,,
43,0.00369,,,,,,,,,,,,,,,,,,,,,,,,
44,0.00412,,,,,,,,,,,,,,,,,,,,,,,,
45,0.00457,,,,,,,,,,,,,,,,,,,,,,,,
46,0.00499,,,,,,,,,,,,,,,,,,,,,,,,
47,0.00546,,,,,,,,,,,,,,,,,,,,,,,,
48,0.00572,,,,,,,,,,,,,,,,,,,,,,,,
49,0.00602,,,,,,,,,,,,,,,,,,,,,,,,
50,0.00645,,,,,,,,,,,,,,,,,,,,,,,,
51,0.00696,,,,,,,,,,,,,,,,,,,,,,,,
52,0.00766,,,,,,,,,,,,,,,,,,,,,,,,
53,0.00845,,,,,,,,,,,,,,,,,,,,,,,,
54,0.00944,,,,,,,,,,,,,,,,,,,,,,,,
55,0.01056,,,,,,,,,,,,,,,,,,,,,,,,
56,0.0117,,,,,,,,,,,,,,,,,,,,,,,,
57,0.01291,,,,,,,,,,,,,,,,,,,,,,,,
58,0.01386,,,,,,,,,,,,,,,,,,,,,,,,
59,0.01496,,,,,,,,,,,,,,,,,,,,,,,,
60,0.01629,,,,,,,,,,,,,,,,,,,,,,,,
61,0.01794,,,,,,,,,,,,,,,,,,,,,,,,
62,0.01993,,,,,,,,,,,,,,,,,,,,,,,,
63,0.02214,,,,,,,,,,,,,,,,,,,,,,,,
64,0.0244,,,,,,,,,,,,,,,,,,,,,,,,
65,0.02663,,,,,,,,,,,,,,,,,,,,,,,,
66,0.02878,,,,,,,,,,,,,,,,,,,,,,,,
67,0.03087,,,,,,,,,,,,,,,,,,,,,,,,
68,0.03307,,,,,,,,,,,,,,,,,,,,,,,,
69,0.03525,,,,,,,,,,,,,,,,,,,,,,,,
70,0.03789,,,,,,,,,,,,,,,,,,,,,,,,
71,0.04078,,,,,,,,,,,,,,,,,,,,,,,,
72,0.04471,,,,,,,,,,,,,,,,,,,,,,,,
73,0.04866,,,,,,,,,,,,,,,,,,,,,,,,
74,0.05265,,,,,,,,,,,,,,,,,,,,,,,,
75,0.05729,,,,,,,,,,,,,,,,,,,,,,,,
76,0.06223,,,,,,,,,,,,,,,,,,,,,,,,
77,0.06794,,,,,,,,,,,,,,,,,,,,,,,,
78,0.07454,,,,,,,,,,,,,,,,,,,,,,,,
79,0.08205,,,,,,,,,,,,,,,,,,,,,,,,
80,0.09007,,,,,,,,,,,,,,,,,,,,,,,,
81,0.09905,,,,,,,,,,,,,,,,,,,,,,,,
82,0.10811,,,,,,,,,,,,,,,,,,,,,,,,
83,0.11761,,,,,,,,,,,,,,,,,,,,,,,,
84,0.12794,,,,,,,,,,,,,,,,,,,,,,,,
85,0.14009,,,,,,,,,,,,,,,,,,,,,,,,
86,0.15339,,,,,,,,,,,,,,,,,,,,,,,,
87,0.16769,,,,,,,,,,,,,,,,,,,,,,,,
88,0.18272,,,,,,,,,,,,,,,,,,,,,,,,
89,0.19827,,,,,,,,,,,,,,,,,,,,,,,,
90,0.21413,,,,,,,,,,,,,,,,,,,,,,,,
91,0.22843,,,,,,,,,,,,,,,,,,,,,,,,
92,0.24302,,,,,,,,,,,,,,,,,,,,,,,,
93,0.2581,,,,,,,,,,,,,,,,,,,,,,,,
94,0.27374,,,,,,,,,,,,,,,,,,,,,,,,
95,0.29105,,,,,,,,,,,,,,,,,,,,,,,,
96,0.30633,,,,,,,,,,,,,,,,,,,,,,,,
97,0.32244,,,,,,,,,,,,,,,,,,,,,,,,
98,0.33945,,,,,,,,,,,,,,,,,,,,,,,,
99,0.35742,,,,,,,,,,,,,,,,,,,,,,,,
100,0.3764,,,,,,,,,,,,,,,,,,,,,,,,
101,0.39077,,,,,,,,,,,,,,,,,,,,,,,,
102,0.40592,,,,,,,,,,,,,,,,,,,,,,,,
103,0.42183,,,,,,,,,,,,,,,,,,,,,,,,
104,0.43857,,,,,,,,,,,,,,,,,,,,,,,,
105,0.46015,,,,,,,,,,,,,,,,,,,,,,,,
106,0.4831,,,,,,,,,,,,,,,,,,,,,,,,
107,0.50751,,,,,,,,,,,,,,,,,,,,,,,,
108,0.53344,,,,,,,,,,,,,,,,,,,,,,,,
109,0.56101,,,,,,,,,,,,,,,,,,,,,,,,
110,0.59027,,,,,,,,,,,,,,,,,,,,,,,,
111,0.62135,,,,,,,,,,,,,,,,,,,,,,,,
112,0.65435,,,,,,,,,,,,,,,,,,,,,,,,
113,0.68938,,,,,,,,,,,,,,,,,,,,,,,,
114,0.72656,,,,,,,,,,,,,,,,,,,,,,,,
115,0.76601,,,,,,,,,,,,,,,,,,,,,,,,
116,0.80786,,,,,,,,,,,,,,,,,,,,,,,,
117,0.85226,,,,,,,,,,,,,,,,,,,,,,,,
118,0.89935,,,,,,,,,,,,,,,,,,,,,,,,
119,0.94929,,,,,,,,,,,,,,,,,,,,,,,,
120,1,,,,,,,,,,,,,,,,,,,,,,,,
